accBasedController [2021-03-27-21-56-05]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.630036  -0.001  -0.011  -0.207  -0.010  0.000  0.003
0.633036  -0.001  -0.011  -0.207  -0.010  0.000  0.003
0.636036  0.003  -0.011  0.517  -0.002  0.000  0.003
0.639036  0.003  -0.011  0.517  -0.002  0.000  0.003
0.642036  0.004  -0.012  0.183  -0.146  0.000  0.003
0.645036  0.004  -0.012  0.183  -0.146  0.000  0.003
0.648037  0.004  -0.014  0.014  -0.241  0.000  0.003
0.651037  0.004  -0.014  0.014  -0.241  0.000  0.003
0.654037  0.004  -0.014  0.014  -0.241  0.000  0.003
0.658037  0.003  -0.014  -0.157  -0.078  0.000  0.003
0.661037  0.003  -0.014  -0.157  -0.078  0.000  0.003
0.664038  0.001  -0.013  -0.220  0.131  0.000  0.003
0.667038  0.001  -0.013  -0.220  0.131  0.000  0.003
0.670038  -0.001  -0.012  -0.333  0.181  0.000  0.003
0.673038  -0.001  -0.012  -0.333  0.181  0.000  0.003
0.676038  -0.001  -0.012  -0.333  0.181  0.000  0.003
0.679038  -0.002  -0.010  -0.117  0.210  0.000  0.003
0.682039  -0.002  -0.010  -0.117  0.210  0.000  0.003
0.685039  0.002  -0.012  0.475  -0.216  0.000  0.003
0.688039  0.002  -0.012  0.475  -0.216  0.000  0.003
0.692039  0.003  -0.012  0.191  0.041  0.000  0.003
0.695039  0.003  -0.012  0.191  0.041  0.000  0.003
0.698039  0.003  -0.012  0.191  0.041  0.000  0.003
0.701040  0.004  -0.012  0.112  0.000  0.000  0.003
0.704040  0.004  -0.012  0.112  0.000  0.000  0.003
0.707040  0.007  -0.011  0.311  0.099  0.000  0.003
0.710040  0.007  -0.011  0.311  0.099  0.000  0.003
0.713040  0.009  -0.009  0.255  0.186  0.000  0.003
0.716041  0.009  -0.009  0.255  0.186  0.000  0.003
0.719041  0.009  -0.009  0.255  0.186  0.000  0.003
0.722041  0.004  -0.009  -0.619  0.018  0.000  0.003
0.725041  0.004  -0.009  -0.619  0.018  0.000  0.003
0.728041  0.003  -0.009  -0.099  0.075  0.000  0.003
0.731041  0.003  -0.009  -0.099  0.075  0.000  0.003
0.734042  0.002  -0.006  -0.119  0.300  0.000  0.003
0.737042  0.002  -0.006  -0.119  0.300  0.000  0.003
0.740042  0.002  -0.006  -0.119  0.300  0.000  0.003
0.743042  0.006  -0.005  0.519  0.133  0.000  0.003
0.746042  0.006  -0.005  0.519  0.133  0.000  0.000
0.750042  0.006  -0.006  -0.026  -0.135  0.000  0.000
0.754043  0.006  -0.006  -0.026  -0.135  0.000  0.000
0.757043  0.006  -0.003  0.032  0.391  0.000  0.000
0.760043  0.006  -0.003  0.032  0.391  0.000  0.000
0.765043  0.006  -0.003  0.032  0.391  0.000  0.000
0.768044  0.008  -0.004  0.296  -0.150  0.000  0.000
0.772044  0.008  -0.004  0.296  -0.150  0.000  0.000
0.775044  0.009  -0.004  0.065  -0.033  0.000  0.000
0.780044  0.009  -0.004  0.065  -0.033  0.000  0.000
0.784044  0.009  -0.005  0.014  -0.007  0.000  0.000
0.788045  0.009  -0.005  0.014  -0.007  0.000  0.000
0.792045  0.009  -0.005  0.014  -0.007  0.000  0.000
0.795045  0.009  -0.005  0.003  -0.002  0.000  0.000
0.799045  0.009  -0.005  0.003  -0.002  0.000  0.000
0.802045  0.009  -0.005  0.001  -0.000  0.000  0.000
0.805046  0.009  -0.005  0.001  -0.000  0.000  0.000
0.808046  0.009  -0.005  -0.058  -0.093  0.000  0.000
0.811046  0.009  -0.005  -0.058  -0.093  0.000  0.000
0.814046  0.009  -0.005  -0.058  -0.093  0.000  0.000
0.817046  0.007  -0.004  -0.213  0.186  0.000  0.000
0.820046  0.007  -0.004  -0.213  0.186  0.000  0.000
0.823047  0.008  -0.005  0.092  -0.138  0.000  0.000
0.826047  0.008  -0.005  0.092  -0.138  0.000  0.000
0.829047  0.007  -0.005  -0.055  -0.055  0.000  0.000
0.833047  0.007  -0.005  -0.055  -0.055  0.000  0.000
0.836047  0.007  -0.005  -0.055  -0.055  0.000  0.000
0.839048  0.005  -0.005  -0.317  0.018  0.000  0.000
0.842048  0.005  -0.005  -0.317  0.018  0.000  0.000
0.845048  0.004  -0.005  -0.075  -0.011  0.000  0.000
0.848048  0.004  -0.005  -0.075  -0.011  0.000  0.000
0.851048  0.005  -0.006  0.160  -0.141  0.000  0.000
0.854048  0.005  -0.006  0.160  -0.141  0.000  0.000
0.857049  0.005  -0.006  0.160  -0.141  0.000  0.000
0.860049  0.009  -0.006  0.439  0.009  0.000  0.000
0.863049  0.009  -0.006  0.439  0.009  0.000  0.000
0.866049  0.009  -0.007  0.062  -0.093  0.000  0.000
0.869049  0.009  -0.007  0.062  -0.093  0.000  0.000
0.872049  0.008  -0.007  -0.143  -0.044  0.000  0.000
0.875050  0.008  -0.007  -0.143  -0.044  0.000  0.000
0.878050  0.008  -0.007  -0.143  -0.044  0.000  0.000
0.882050  0.008  -0.009  -0.075  -0.252  0.000  0.000
0.885050  0.008  -0.009  -0.075  -0.252  0.000  0.000
0.888050  0.006  -0.009  -0.205  0.010  0.000  0.000
0.891051  0.006  -0.009  -0.205  0.010  0.000  0.000
0.894051  0.004  -0.009  -0.274  0.009  0.000  0.000
0.897051  0.004  -0.009  -0.274  0.009  0.000  0.000
0.900051  0.004  -0.009  -0.274  0.009  0.000  0.000
0.903051  0.003  -0.009  -0.108  0.090  0.000  0.000
0.906051  0.003  -0.009  -0.108  0.090  0.000  0.000
0.909052  0.004  -0.007  0.131  0.147  0.000  0.000
0.912052  0.004  -0.007  0.131  0.147  0.000  0.000
0.915052  0.005  -0.009  0.086  -0.143  0.000  0.000
0.918052  0.005  -0.009  0.086  -0.143  0.000  0.000
0.921052  0.005  -0.009  0.086  -0.143  0.000  0.000
