SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-176.832    -26   0.176  0.000  -0.319  -149.391  -32.136  0.039  0.991  -0.001
-487.459    -25   0.176  0.000  -0.319  -156.340  -33.239  0.058  0.725  -0.001
-679.159     -8   0.176  0.000  -0.319  -130.992  -27.630  0.148  0.504  0.000
-702.736     -8   0.176  0.000  -0.319  -72.389  -15.628  -0.169  0.379  -0.001
-621.271     -3   0.176  0.000  -0.319  -27.185  -6.147  -0.117  0.330  -0.002
-547.695     -2   0.176  0.000  -0.319  -23.242  -5.349  -0.191  0.287  -0.004
-523.699     19   0.176  0.000  -0.319  -38.775  -8.540  -0.243  0.218  -0.006
-480.035     19   0.176  0.000  -0.319  -27.837  -6.008  -0.025  0.170  -0.006
-470.355     24   0.176  0.000  -0.319  -39.288  -8.196  0.089  0.105  -0.005
-400.941     25   0.176  0.000  -0.319  -11.532  -2.438  0.065  0.085  -0.005
-355.569     25   0.176  0.000  -0.319  -16.468  -3.074  0.439  0.061  -0.001
-323.818     25   0.176  0.000  -0.319  -18.535  -3.638  0.256  0.032  0.001
-310.719     25   0.176  0.000  -0.319  -23.835  -5.039  -0.113  -0.009  0.000
-301.984     25   0.176  0.000  -0.319  -24.485  -5.201  -0.193  -0.050  -0.001
-306.710     25   0.176  0.000  -0.319  -29.947  -5.995  0.104  -0.098  -0.001
-300.799     25   0.176  0.000  -0.319  -25.408  -5.229  -0.134  -0.140  -0.002
-256.288     25   0.176  0.000  -0.319  -7.354  -1.544  -0.209  -0.152  -0.003
-183.981     25   0.176  0.000  -0.319  9.156  1.993  -0.069  -0.136  -0.004
-85.536     25   0.176  0.000  -0.319  27.396  5.825  0.042  -0.090  -0.004
155.232     25   0.176  0.000  -0.319  100.557  20.616  -0.151  0.075  -0.005
316.571     25   0.176  0.000  -0.319  86.242  17.870  0.264  0.218  -0.003
361.201     10   0.176  0.000  -0.319  48.069  9.942  0.350  0.298  0.000
346.686    -27   0.176  0.000  -0.319  25.848  4.743  -0.225  0.335  -0.002
198.079    -27   0.176  0.000  -0.319  -36.017  -7.740  0.063  0.274  -0.001
47.602    -28   0.176  0.000  -0.319  -50.173  -10.730  -0.103  0.188  -0.002
-41.623    -28   0.176  0.000  -0.319  -36.186  -7.720  -0.064  0.126  -0.002
-65.844    -29   0.176  0.000  -0.319  -15.151  -3.128  0.144  0.101  -0.001
