vel_hum: -0.0041, vel_exo: 0.0116, acc_hum: -0.0819, acc_exo: -0.0434, tht_c: 0.0000, tht_l: 0.0076
vel_hum: -0.0041, vel_exo: 0.0116, acc_hum: -0.0819, acc_exo: -0.0434, tht_c: 0.0000, tht_l: 0.0076
vel_hum: -0.0052, vel_exo: 0.0105, acc_hum: -0.1074, acc_exo: -0.1098, tht_c: 0.0000, tht_l: 0.0074
vel_hum: -0.0052, vel_exo: 0.0105, acc_hum: -0.1074, acc_exo: -0.1098, tht_c: 0.0000, tht_l: 0.0074
vel_hum: -0.0054, vel_exo: 0.0103, acc_hum: -0.0210, acc_exo: -0.0182, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0054, vel_exo: 0.0103, acc_hum: -0.0210, acc_exo: -0.0182, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0043, vel_exo: 0.0109, acc_hum: 0.1086, acc_exo: 0.0599, tht_c: 0.0000, tht_l: 0.0081
vel_hum: -0.0043, vel_exo: 0.0109, acc_hum: 0.1086, acc_exo: 0.0599, tht_c: 0.0000, tht_l: 0.0081
vel_hum: -0.0043, vel_exo: 0.0114, acc_hum: 0.0077, acc_exo: 0.0447, tht_c: 0.0000, tht_l: 0.0076
vel_hum: -0.0043, vel_exo: 0.0114, acc_hum: 0.0077, acc_exo: 0.0447, tht_c: 0.0000, tht_l: 0.0076
vel_hum: -0.0050, vel_exo: 0.0111, acc_hum: -0.0774, acc_exo: -0.0295, tht_c: 0.0000, tht_l: 0.0063
vel_hum: -0.0050, vel_exo: 0.0111, acc_hum: -0.0774, acc_exo: -0.0295, tht_c: 0.0000, tht_l: 0.0063
vel_hum: -0.0046, vel_exo: 0.0108, acc_hum: 0.0449, acc_exo: -0.0310, tht_c: 0.0000, tht_l: 0.0045
vel_hum: -0.0046, vel_exo: 0.0108, acc_hum: 0.0449, acc_exo: -0.0310, tht_c: 0.0000, tht_l: 0.0045
vel_hum: -0.0037, vel_exo: 0.0111, acc_hum: 0.0893, acc_exo: 0.0309, tht_c: 0.0000, tht_l: 0.0070
vel_hum: -0.0037, vel_exo: 0.0111, acc_hum: 0.0893, acc_exo: 0.0309, tht_c: 0.0000, tht_l: 0.0070
vel_hum: -0.0041, vel_exo: 0.0109, acc_hum: -0.0351, acc_exo: -0.0159, tht_c: 0.0000, tht_l: 0.0057
