CACu_KF
time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  SetPt[mA]  I_m[mA]  T_Sea[N.m]
0.284016  0.011  -0.000  -0.000   0.00     -3  -0.000
0.285016  0.011  -0.000  -0.000   0.00     -3  -0.000
0.286016  0.011  -0.000  -0.000   0.00     -3  -0.000
0.287016  0.011  -0.000  -0.000   0.00     -3  -0.000
0.288016  0.011  -0.000  -0.000   0.00     -3  -0.000
0.289016  0.011  0.000  -0.000   0.00     -2  -0.000
0.290016  0.011  0.000  -0.000   0.00     -2  -0.000
0.291016  0.011  -0.000  -0.000   0.00     -2  -0.000
0.292016  0.011  -0.000  -0.000   0.00     -2  -0.000
0.293016  0.011  -0.000  -0.000   0.00     -2  -0.000
0.294016  0.011  -0.000  -0.000   0.00     -3  -0.000
0.295016  0.011  -0.000  -0.000   0.00     -3  -0.000
0.296016  0.011  -0.000  -0.000   0.00     -3  -0.000
0.298017  0.011  0.000  -0.000   0.00     -3  -0.000
0.299017  0.011  0.000  -0.000   0.00     -3  -0.000
0.300017  0.011  0.000  -0.000   0.00     -3  -0.000
0.301017  0.011  0.000  -0.000   0.00     -3  -0.000
0.302017  0.011  0.000  -0.000   0.00     -3  -0.000
0.303017  0.011  0.000  -0.000   0.00     -3  -0.000
0.304017  0.011  0.000  -0.000   0.00     -3  -0.000
0.305017  0.011  0.000  -0.000   0.00     -2  -0.000
0.306017  0.011  0.000  -0.000   0.00     -2  -0.000
0.307017  0.011  -0.000  -0.000   0.00     -2  -0.000
0.308017  0.011  -0.000  -0.000   0.00     -2  -0.000
0.309017  0.011  -0.000  -0.000   0.00     -2  -0.000
0.310017  0.011  -0.000  -0.000   0.00     -2  -0.000
0.311017  0.012  -0.000  -0.000   0.00     -1  -0.000
0.312017  0.012  -0.000  -0.000   0.00     -1  -0.000
0.313017  0.012  -0.000  -0.000   0.00     -1  -0.000
0.314018  0.012  -0.000  -0.000   0.00     -1  -0.000
0.316018  0.012  -0.000  -0.000   0.00      0  -0.000
0.317018  0.012  -0.000  -0.000   0.00      0  -0.000
0.318018  0.012  -0.000  -0.000   0.00      0  -0.000
0.319018  0.012  -0.000  -0.000   0.00      0  -0.000
0.320018  0.012  -0.000  -0.000   0.00      0  -0.000
0.321018  0.012  -0.000  -0.000   0.00      0  -0.000
0.322018  0.012  -0.000  -0.000   0.00     -3  -0.000
0.324018  0.012  -0.000  -0.000   0.00     -3  -0.000
0.325018  0.012  0.000  -0.000   0.00     -3  -0.000
0.326018  0.012  0.000  -0.000   0.00     -3  -0.000
0.327018  0.012  0.000  -0.000   0.00     -3  -0.000
0.328018  0.012  0.000  -0.000   0.00     -3  -0.000
0.329018  0.012  0.000  -0.000   0.00     -3  -0.000
0.331018  0.012  0.000  -0.000   0.00     -3  -0.000
0.332019  0.012  0.000  -0.000   0.00     -3  -0.000
0.333019  0.012  0.000  -0.000   0.00     -2  -0.000
0.334019  0.012  0.000  -0.000   0.00     -2  -0.000
0.335019  0.012  0.000  -0.000   0.00     -2  -0.000
0.336019  0.012  0.000  -0.000   0.00     -2  -0.000
0.337019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.338019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.339019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.340019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.341019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.342019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.343019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.344019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.345019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.346019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.347019  0.012  -0.000  -0.000   0.00     -2  -0.000
0.349020  0.012  0.000  -0.000   0.00     -1  -0.000
0.350020  0.012  -0.000  -0.000   0.00     -1  -0.000
0.351020  0.012  -0.000  -0.000   0.00     -1  -0.000
0.352020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.353020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.354020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.355020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.357020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.358020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.359020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.360020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.361020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.362020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.363020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.364020  0.013  -0.000  -0.000   0.00     -1  -0.000
0.366020  0.013  -0.000  -0.000   0.00     -3  -0.000
0.367021  0.013  -0.000  -0.000   0.00     -3  -0.000
0.368021  0.013  0.000  -0.000   0.00     -3  -0.000
0.369021  0.013  0.000  -0.000   0.00     -3  -0.000
0.370021  0.013  0.000  -0.000   0.00     -3  -0.000
0.371021  0.013  0.000  -0.000   0.00     -2  -0.000
0.372021  0.013  0.000  -0.000   0.00     -2  -0.000
0.373021  0.013  0.000  -0.000   0.00     -2  -0.000
0.374021  0.013  0.000  -0.000   0.00     -2  -0.000
0.375021  0.013  0.000  -0.000   0.00     -2  -0.000
0.376021  0.013  -0.000  -0.000   0.00     -3  -0.000
0.377021  0.013  -0.000  -0.000   0.00     -3  -0.000
0.378021  0.013  0.000  -0.000   0.00     -3  -0.000
0.379021  0.013  0.000  -0.000   0.00     -3  -0.000
0.381021  0.013  0.000  -0.000   0.00     -3  -0.000
0.382021  0.013  0.000  -0.000   0.00     -3  -0.000
0.383021  0.013  0.000  -0.000   0.00     -3  -0.000
0.385022  0.013  0.000  -0.000   0.00     -3  -0.000
0.386022  0.013  0.000  -0.000   0.00     -3  -0.000
0.387022  0.014  0.000  -0.000   0.00     -3  -0.000
0.388022  0.014  0.000  -0.000   0.00     -2  -0.000
0.390022  0.014  0.000  -0.000   0.00     -2  -0.000
0.391022  0.014  -0.000  -0.000   0.00     -2  -0.000
0.392022  0.014  -0.000  -0.000   0.00     -2  -0.000
0.393022  0.014  -0.000  -0.000   0.00     -1  -0.000
0.394022  0.014  -0.000  -0.000   0.00     -1  -0.000
0.395022  0.014  -0.000  -0.000   0.00     -1  -0.000
0.396022  0.014  -0.000  -0.000   0.00     -1  -0.000
0.397022  0.014  -0.000  -0.000   0.00     -1  -0.000
0.398022  0.014  -0.000  -0.000   0.00     -1  -0.000
0.399022  0.014  -0.000  -0.000   0.00     -3  -0.000
0.400022  0.014  -0.000  -0.000   0.00     -3  -0.000
0.401022  0.014  0.000  -0.000   0.00     -3  -0.000
0.402023  0.014  0.000  -0.000   0.00     -3  -0.000
0.403023  0.014  0.000  -0.000   0.00     -3  -0.000
0.404023  0.014  0.000  -0.000   0.00     -3  -0.000
0.405023  0.014  0.000  -0.000   0.00     -3  -0.000
0.407023  0.014  0.000  -0.000   0.00     -3  -0.000
0.408023  0.014  0.000  -0.000   0.00     -3  -0.000
0.409023  0.014  0.000  -0.000   0.00     -3  -0.000
0.410023  0.014  0.000  -0.000   0.00     -2  -0.000
0.412023  0.015  0.000  -0.000   0.00     -2  -0.000
0.413023  0.015  0.000  -0.000   0.00     -2  -0.000
0.415023  0.015  -0.000  -0.000   0.00     -3  -0.000
0.416023  0.015  -0.000  -0.000   0.00     -3  -0.000
0.417023  0.015  -0.000  -0.000   0.00     -3  -0.000
0.418023  0.015  0.000  -0.000   0.00     -3  -0.000
0.419024  0.015  0.000  -0.000   0.00     -3  -0.000
0.420024  0.015  0.000  -0.000   0.00     -3  -0.000
0.421024  0.015  0.000  -0.000   0.00     -1  -0.000
0.422024  0.015  0.000  -0.000   0.00     -1  -0.000
0.423024  0.015  -0.000  -0.000   0.00     -1  -0.000
0.424024  0.015  -0.000  -0.000   0.00     -1  -0.000
0.425024  0.015  -0.000  -0.000   0.00     -1  -0.000
