SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
-2.800     -3   -0.176  0.000  -60.716  -12441.702  -12410.362  -0.206  1.179  0.000
-2.842     -3   -0.176  0.000  -181.451  -37182.531  -37157.809  -0.204  0.446  0.000
-2.875     -3   -0.176  0.000  -181.314  -37154.547  -37129.563  -0.584  -1.082  0.000
-2.699     -2   -0.176  0.000  -120.403  -24672.744  -24647.195  -0.595  -2.048  0.000
-2.556     -2   -0.176  0.000  -119.938  -24577.455  -24553.383  -0.397  -2.213  0.000
-2.442     -2   -0.176  0.000  -119.872  -24563.943  -24540.248  -0.394  -1.991  0.000
-2.753     -4   -0.176  0.000  -240.561  -49295.328  -49271.551  -0.393  -1.229  0.000
-2.802     -3   -0.176  0.000  -180.723  -37033.379  -37004.281  -0.776  -0.669  0.000
-3.042     -4   -0.176  0.000  -241.169  -49419.918  -49389.941  -0.586  0.329  0.000
-3.236     -4   -0.176  0.000  -241.647  -49517.738  -49485.094  -0.781  0.620  0.000
-3.191     -3   -0.176  0.000  -181.464  -37185.227  -37151.168  -0.783  1.018  0.000
-3.154     -3   -0.176  0.000  -181.545  -37201.828  -37169.656  -0.594  2.032  0.000
-3.127      1   -0.176  0.000  -181.951  -37284.965  -37254.332  -0.590  3.104  0.000
-2.303      1   -0.176  0.000  58.820  12053.261  12082.315  -0.593  4.278  0.000
-2.448     -3   -0.176  0.000  -182.535  -37404.609  -37387.918  0.191  3.825  0.000
-2.364     -2   -0.176  0.000  -122.365  -25074.791  -25058.004  -0.601  0.022  0.000
-2.292     -2   -0.176  0.000  -120.768  -24747.619  -24732.922  -0.401  -0.259  0.000
-2.635     -4   -0.176  0.000  -241.253  -49437.125  -49421.641  -0.395  -1.112  0.000
-2.909     -4   -0.176  0.000  -241.069  -49399.367  -49377.824  -0.794  -2.138  0.000
-3.126     -4   -0.176  0.000  -240.660  -49315.520  -49288.902  -0.804  -1.699  0.000
-3.300     -4   -0.176  0.000  -240.835  -49351.461  -49320.492  -0.791  -1.087  0.000
-3.440     -4   -0.176  0.000  -241.080  -49401.594  -49367.660  -0.801  -0.778  0.000
-3.553     -4   -0.176  0.000  -241.204  -49427.039  -49391.348  -0.788  -0.570  0.000
-3.643     -2   -0.176  0.000  -241.287  -49444.098  -49407.328  -0.794  -0.320  0.000
-3.314     -2   -0.176  0.000  -120.787  -24751.502  -24714.043  -0.792  -0.124  0.000
-3.251     -3   -0.176  0.000  -181.009  -37091.973  -37059.434  -0.413  0.326  0.000
-3.202     -3   -0.176  0.000  -181.267  -37144.805  -37113.426  -0.598  0.162  0.000
-3.162     -3   -0.176  0.000  -181.202  -37131.508  -37101.016  -0.605  0.484  0.000
-2.729     -1   -0.176  0.000  -60.731  -12444.835  -12414.942  -0.597  0.879  0.000
-2.183      0   -0.176  0.000  -0.432  -88.616  -64.600  -0.217  2.082  0.000
-2.149     -2   -0.176  0.000  -121.435  -24884.232  -24867.320  -0.011  3.563  0.000
-2.325     -3   -0.176  0.000  -182.485  -37394.371  -37377.828  -0.408  4.563  0.000
-2.869     -5   -0.176  0.000  -303.564  -62205.699  -62187.520  -0.604  5.492  0.000
-2.904     -3   -0.176  0.000  -183.493  -37601.035  -37577.289  -0.994  6.307  0.000
-2.933     -3   -0.176  0.000  -183.663  -37635.867  -37613.922  -0.609  7.742  0.000
-2.957     -3   -0.176  0.000  -184.236  -37753.250  -37733.445  -0.605  7.607  0.000
-3.178     -4   -0.176  0.000  -244.482  -50098.863  -50081.527  -0.614  7.192  0.000
-3.353     -5   -0.176  0.000  -244.395  -50080.883  -50062.711  -0.806  6.653  0.000
-3.694     -5   -0.176  0.000  -304.479  -62393.219  -62374.168  -0.811  6.156  0.000
-3.363     -2   -0.176  0.000  -123.458  -25298.693  -25276.209  -1.002  4.690  0.000
-3.498     -4   -0.176  0.000  -243.237  -49843.559  -49826.301  -0.425  4.186  0.000
-3.605     -4   -0.176  0.000  -243.191  -49834.199  -49814.730  -0.792  3.583  0.000
-3.691     -4   -0.176  0.000  -242.951  -49784.941  -49762.957  -0.798  4.304  0.000
-3.157     -1   -0.176  0.000  -62.339  -12774.431  -12750.231  -0.804  5.512  0.000
-2.731     -1   -0.176  0.000  -62.587  -12825.240  -12807.652  -0.216  6.558  0.000
-2.393     -1   -0.176  0.000  -63.004  -12910.674  -12898.910  -0.216  5.848  0.000
-2.322     -2   -0.176  0.000  -123.020  -25208.971  -25202.043  -0.206  4.199  0.000
