acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rpm]  actual_Vel[rpm]  Voltage[V]
-0.006  -0.028  -0.010  0.002  -7.916      0  0.000
0.003  -0.038  -0.012  0.002  -9.107      0  0.000
0.026  -0.062  -0.011  0.000  -8.698      0  0.000
0.040  -0.057  -0.011  0.003  -8.594      0  0.000
0.043  -0.040  -0.011  0.004  -8.664      0  0.000
0.034  -0.011  -0.011  0.007  -8.784      0  0.000
0.014  0.023  -0.009  0.008  -6.933      0  0.000
0.013  0.055  -0.010  0.009  -7.940      0  0.000
0.016  0.079  -0.011  0.009  -8.518      0  0.000
-0.003  0.100  -0.013  0.008  -10.523      0  0.000
-0.017  0.130  -0.013  0.011  -9.935      0  0.000
-0.018  0.126  -0.012  0.010  -9.728      0  0.000
-0.027  0.104  -0.013  0.009  -9.878      0  0.000
-0.037  0.070  -0.013  0.009  -10.518      0  0.000
-0.042  0.047  -0.013  0.010  -10.359      0  0.000
-0.039  0.026  -0.012  0.010  -9.531      0  0.000
-0.037  0.036  -0.012  0.014  -9.742      0  0.000
-0.013  0.049  -0.012  0.014  -9.045      0  0.000
-0.004  0.065  -0.013  0.014  -10.412      0  0.000
0.009  0.064  -0.012  0.012  -9.618      0  0.000
0.023  0.028  -0.009  0.008  -7.304      0  0.000
0.032  -0.004  -0.010  0.006  -8.107      0  0.000
0.053  -0.055  -0.008  0.002  -6.246      0  0.000
0.062  -0.116  -0.009  0.000  -7.053      0  0.000
0.044  -0.153  -0.012  0.002  -9.408      0  0.000
0.030  -0.165  -0.011  0.004  -8.899      0  0.000
0.045  -0.160  -0.007  0.006  -5.512      0  0.000
0.041  -0.123  -0.009  0.007  -7.190      0  0.000
0.054  -0.089  -0.006  0.004  -5.105      0  0.000
0.037  -0.048  -0.009  0.003  -6.756      0  0.000
0.015  -0.024  -0.010  0.000  -7.787      0  0.000
-0.020  -0.012  -0.015  0.001  -12.017      0  0.000
-0.072  -0.016  -0.018  -0.000  -14.251      0  0.000
-0.089  -0.029  -0.016  0.002  -12.835      0  0.000
-0.083  -0.049  -0.013  0.002  -10.118      0  0.000
-0.095  -0.056  -0.013  0.003  -10.325      0  0.000
-0.087  -0.052  -0.011  0.002  -8.400      0  0.000
