acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  theta_m[deg]  theta_c[deg]  theta_l[deg]
-0.026  -4.057  -0.002  -0.108  -184917.969  0.000  0.000
-0.103  -5.387  -0.008  -0.083  -184917.969  0.000  0.000
-0.145  -5.311  -0.006  -0.031  -184917.969  0.000  0.000
-0.124  -3.824  0.002  0.041  -184917.969  0.000  0.000
-0.090  -1.794  0.001  0.055  -184917.969  0.000  0.000
0.005  -0.178  0.003  -0.024  -184917.969  0.000  0.000
0.055  0.431  -0.006  -0.126  -184917.969  0.000  0.000
0.069  0.202  -0.002  -0.160  -184917.969  0.000  0.000
0.120  -0.067  0.003  -0.116  -184917.969  0.000  0.000
0.103  -0.001  0.005  -0.014  -184917.969  0.000  0.000
0.090  0.465  0.001  0.086  -184917.969  0.000  0.000
0.068  0.908  -0.004  0.112  -184917.969  0.000  0.000
0.031  0.892  0.001  0.045  -184917.969  0.000  0.000
0.017  0.327  0.004  -0.089  -184917.969  0.000  0.000
0.069  -0.001  0.009  -0.145  -184917.969  0.000  0.000
0.079  0.168  0.004  -0.111  -184917.969  0.000  0.000
0.036  0.613  -0.008  -0.001  -184917.969  0.000  0.000
-0.082  1.206  -0.012  0.152  -184917.969  0.000  0.000
-0.049  1.982  0.009  0.280  -184917.969  0.000  0.000
-0.014  2.457  0.005  0.262  -184917.969  0.000  0.000
0.016  2.638  0.002  0.164  -184917.969  0.000  0.000
-0.024  2.969  -0.006  0.106  -184917.969  0.000  0.000
-0.095  3.442  -0.007  0.104  -184917.969  0.000  0.000
-0.076  3.941  0.002  0.187  -184917.969  0.000  0.000
-0.027  3.788  0.004  0.262  -184917.969  0.000  0.000
0.086  3.163  0.009  0.316  -184917.969  0.000  0.000
0.105  2.393  -0.001  0.342  -184917.969  0.000  0.000
0.019  1.844  -0.006  0.340  -184917.969  0.000  0.000
-0.112  1.871  -0.009  0.325  -184917.969  0.000  0.000
-0.086  2.600  -0.005  0.330  -184917.969  0.000  0.000
-0.038  3.214  -0.000  0.340  -184917.969  0.000  0.000
0.010  2.932  0.002  0.317  -184917.969  0.000  0.000
-0.020  1.639  -0.001  0.239  -184917.969  0.000  0.000
-0.089  -0.617  -0.006  0.098  -184917.969  0.000  0.000
-0.109  -4.795  -0.008  -0.340  -184917.969  0.000  0.000
-0.124  -13.870  -0.011  -1.397  -184917.969  0.000  0.000
-0.039  -20.369  -0.003  -1.341  -184917.969  0.000  0.000
0.041  -19.854  0.005  -0.469  -184917.969  0.000  0.000
0.068  -18.794  0.003  -0.533  -184917.969  0.000  0.000
0.044  -15.978  0.000  -0.381  -184917.969  0.000  0.000
0.084  -12.719  0.009  -0.450  -184917.969  0.000  0.000
0.098  -5.500  0.001  0.078  -184917.969  0.000  0.000
0.113  2.941  -0.002  0.269  -184917.969  0.000  0.000
0.096  12.029  -0.004  0.468  -184917.969  0.000  0.000
0.032  19.759  -0.008  0.443  -184917.969  0.000  0.000
0.004  23.766  0.001  0.383  -184917.969  0.000  0.000
0.002  19.578  0.011  0.354  -184917.969  0.000  0.000
-0.000  14.246  0.006  0.435  -184917.969  0.000  0.000
0.054  12.156  0.008  0.315  -184917.969  0.000  0.000
0.081  7.990  0.006  0.183  -184917.969  0.000  0.000
0.056  3.377  0.001  0.065  -184917.969  0.000  0.000
0.082  -2.391  -0.001  0.033  -184917.969  0.000  0.000
0.040  -4.872  -0.005  0.075  -184917.969  0.000  0.000
0.041  -5.520  0.005  0.167  -184917.969  0.000  0.000
-0.051  -4.374  -0.007  0.224  -184917.969  0.000  0.000
-0.128  -3.096  -0.001  0.229  -184917.969  0.000  0.000
-0.185  -1.924  -0.006  0.239  -184917.969  0.000  0.000
-0.197  -0.145  -0.012  0.352  -184917.969  0.000  0.000
-0.147  2.710  0.001  0.444  -184917.969  0.000  0.000
-0.054  5.031  0.005  0.496  -184917.969  0.000  0.000
-0.040  5.998  -0.007  0.452  -184917.969  0.000  0.000
-0.047  5.800  -0.008  0.442  -184917.969  0.000  0.000
-0.038  5.083  -0.005  0.465  -184917.969  0.000  0.000
-0.075  4.252  -0.009  0.481  -184917.969  0.000  0.000
-0.028  3.673  -0.007  0.496  -184917.969  0.000  0.000
-0.040  2.937  -0.005  0.465  -184917.969  0.000  0.000
-0.017  1.668  -0.005  0.414  -184917.969  0.000  0.000
0.042  0.224  0.006  0.408  -184917.969  0.000  0.000
-0.006  -0.832  -0.003  0.375  -184917.969  0.000  0.000
0.047  -1.590  0.002  0.322  -184917.969  0.000  0.000
0.079  -2.350  -0.007  0.235  -184917.969  0.000  0.000
0.041  -3.339  -0.008  0.194  -184917.969  0.000  0.000
0.082  -3.992  0.007  0.214  -184917.969  0.000  0.000
0.093  -4.976  0.001  0.083  -184917.969  0.000  0.000
0.092  -7.429  0.004  -0.272  -184917.969  0.000  0.000
0.085  -9.337  0.003  -0.344  -184917.969  0.000  0.000
0.060  -10.427  0.000  -0.331  -184917.969  0.000  0.000
0.029  -10.684  0.001  -0.283  -184917.969  0.000  0.000
0.019  -10.025  -0.008  -0.254  -184917.969  0.000  0.000
0.029  -8.923  0.004  -0.268  -184917.969  0.000  0.000
0.079  -7.705  0.007  -0.313  -184917.969  0.000  0.000
