SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
-4.204     -3   0.000  0.000  -1.156  -0.180  -0.017  -0.012  -0.001  0.000
-6.629     -3   0.000  0.000  -1.288  -0.182  -0.008  -0.008  -0.003  0.000
-6.763     -3   0.000  0.000  -0.387  -0.092  -0.050  0.002  -0.004  0.000
-5.314     -4   0.000  0.000  0.406  -0.004  -0.036  -0.002  -0.006  0.000
-1.906     -5   0.000  0.000  0.890  0.063  -0.049  0.004  0.003  0.000
-0.579     -4   0.000  0.000  0.657  0.034  -0.082  -0.006  -0.003  0.000
-0.479     -5   0.000  0.000  -0.533  -0.055  0.001  -0.009  0.009  0.000
-2.464     -5   0.000  0.000  -0.618  -0.054  -0.020  -0.010  -0.005  0.000
-2.222     -6   0.000  0.000  0.047  0.030  -0.013  -0.001  -0.003  0.000
-1.606     -4   0.000  0.000  0.621  0.026  -0.055  -0.004  -0.009  0.000
-0.082     -2   0.000  0.000  0.370  0.015  0.007  -0.005  0.003  0.000
-0.281     -2   0.000  0.000  0.170  0.012  -0.001  0.004  -0.004  0.000
-1.205     -1   0.000  0.000  -0.460  -0.046  0.005  -0.008  0.000  0.000
-1.410     -2   0.000  0.000  -0.245  0.012  0.002  0.001  0.001  0.000
-0.263     -2   0.000  0.000  0.318  0.058  -0.014  0.003  0.001  0.000
1.063     -2   0.000  0.000  0.931  0.115  -0.017  -0.001  -0.006  0.000
2.591     -2   0.000  0.000  0.705  0.083  -0.013  -0.006  0.001  0.000
1.843      1   0.000  0.000  -0.012  0.039  0.049  -0.004  -0.002  0.000
-0.892      1   0.000  0.000  -0.948  -0.102  0.026  -0.020  -0.002  0.000
-3.205      1   0.000  0.000  -0.891  -0.105  0.008  -0.007  -0.004  0.000
-4.134      0   0.000  0.000  -0.681  -0.139  -0.029  -0.010  -0.000  0.000
-4.127     -1   0.176  0.000  -0.450  -0.128  -0.001  -0.002  -0.001  0.000
-3.489     -1   0.176  0.000  0.009  -0.062  -0.037  -0.003  -0.004  0.000
-2.746     -2   0.176  0.000  -0.097  -0.055  -0.026  -0.001  -0.002  0.000
-1.378     -3   0.176  0.000  -0.375  -0.005  0.040  -0.002  0.007  0.000
-0.942     -3   0.176  0.000  -0.104  0.058  0.045  -0.003  -0.003  0.000
0.160     -3   0.176  0.000  0.158  0.057  0.012  -0.011  -0.002  0.000
1.235     -2   0.176  0.000  0.315  0.055  0.014  -0.007  -0.003  0.000
2.551     -3   0.176  0.000  0.403  0.073  0.008  -0.006  -0.002  0.000
2.194     -1   0.176  0.000  0.476  0.017  -0.066  -0.001  -0.013  0.000
1.958      3   0.176  0.000  -0.155  -0.080  -0.077  -0.019  -0.003  0.000
0.938      2   0.176  0.000  -0.446  -0.120  -0.073  -0.008  -0.004  0.000
-0.767      1   0.176  0.000  -0.957  -0.203  -0.060  -0.025  -0.002  0.000
-2.432      1   0.176  0.000  -0.593  -0.197  -0.113  -0.013  -0.010  0.000
-1.534     -1   0.176  0.000  0.310  -0.071  -0.131  0.004  -0.009  0.000
1.081      2   0.176  0.000  0.697  0.052  -0.040  0.006  -0.002  0.000
4.164      2   0.176  0.000  0.494  0.118  0.049  -0.001  0.008  0.000
4.464     -2   0.176  0.000  -0.087  0.086  0.093  -0.008  0.001  0.000
3.986      0   0.176  0.000  -0.189  0.102  0.100  -0.005  -0.002  0.000
4.338      1   0.176  0.000  -0.573  0.084  0.181  -0.011  0.009  0.000
5.326      1   0.176  0.000  0.059  0.149  0.142  -0.004  0.004  0.000
3.939      3   0.176  0.000  0.272  0.047  0.049  -0.011  -0.015  0.000
4.170      2   0.176  0.000  0.359  0.048  0.010  -0.005  -0.006  0.000
2.517      4   0.176  0.000  -0.407  -0.097  -0.019  -0.010  -0.007  0.000
0.574      4   0.176  0.000  -0.886  -0.190  -0.076  -0.013  -0.003  0.000
1.296      4   0.176  0.000  -0.377  -0.092  -0.081  0.001  0.005  0.000
2.491      1   0.176  0.000  0.378  -0.012  -0.098  -0.005  -0.003  0.000
3.796      1   0.176  0.000  0.969  0.058  -0.087  -0.001  -0.010  0.000
6.794      1   0.176  0.000  1.248  0.144  -0.047  0.011  -0.000  0.000
8.826      4   0.176  0.000  1.238  0.193  -0.046  0.004  -0.003  0.000
9.136      1   0.176  0.000  0.268  0.134  0.064  -0.007  0.003  0.000
7.030      1   0.176  0.000  -0.121  0.096  0.082  -0.010  -0.009  0.000
6.061      5   0.176  0.000  0.085  0.036  -0.001  -0.007  -0.006  0.000
6.050      6   0.176  0.000  0.281  0.014  -0.019  -0.006  -0.004  0.000
5.612      7   0.176  0.000  0.176  -0.049  -0.053  -0.007  -0.005  0.000
5.080      6   0.176  0.000  -0.044  -0.075  -0.052  0.002  -0.003  0.000
4.014      7   0.176  0.000  -0.497  -0.062  0.020  -0.004  -0.000  0.000
2.379      6   0.176  0.000  -0.966  -0.100  0.054  -0.006  0.001  0.000
0.029      6   0.176  0.000  -1.234  -0.180  0.017  -0.019  -0.002  0.000
0.369      3   0.176  0.000  -0.659  -0.052  0.073  -0.001  0.005  0.000
0.200      0   0.176  0.000  -0.234  -0.021  0.048  -0.011  -0.005  0.000
0.284      0   0.176  0.000  -0.172  -0.004  0.066  -0.004  -0.005  0.000
0.446      0   0.176  0.000  -0.176  -0.016  0.022  -0.004  -0.004  0.000
0.822      1   0.176  0.000  0.018  0.008  -0.017  -0.001  -0.005  0.000
1.580     -2   0.176  0.000  0.403  0.043  -0.055  0.001  -0.007  0.000
2.865     -2   0.176  0.000  0.253  0.001  -0.054  -0.010  0.000  0.000
5.003      0   0.176  0.000  1.090  0.131  -0.074  0.008  -0.005  0.000
