SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
109002.797     -1   530424.128  -218542819.148  9257.563  18.413  1.000  4.560  5.790  1.531  0.020  100000
-189924.109     -1   530419.260  -217631157.352  -12714.239  17.913  1.000  4.560  5.790  1.531  0.020  100000
-148876.844      1   530419.260  -217629094.704  -12661.201  20.192  1.000  4.560  5.790  1.531  0.020  100000
-148975.984     -1   -728472.249  -217629094.704  -12661.080  18.675  1.000  4.560  5.790  1.531  0.020  100000
-148978.641      1   -725433.391  158499950.503  -12661.080  17.614  1.000  4.560  5.790  1.531  0.020  100000
148729.656     -1   -725426.453  159126107.429  9221.219  17.719  1.000  4.560  5.790  1.531  0.020  100000
109070.102      0   -725426.453  159124632.063  9257.647  18.174  1.000  4.560  5.790  1.531  0.020  100000
109002.531     -1   528336.916  159124617.739  9257.563  18.363  1.000  4.560  5.790  1.531  0.020  100000
109003.320      2   530424.128  -218542819.148  9257.563  18.642  1.000  4.560  5.790  1.531  0.020  100000
-189923.125      1   530419.260  -217631157.352  -12714.239  18.337  1.000  4.560  5.790  1.531  0.020  100000
-148879.219      1   530419.260  -217629094.704  -12661.201  19.152  1.000  4.560  5.790  1.531  0.020  100000
-148976.250     -1   -728472.249  -217629094.704  -12661.080  18.562  1.000  4.560  5.790  1.531  0.020  100000
-148975.391      1   -725433.391  158499950.503  -12661.080  19.031  1.000  4.560  5.790  1.531  0.020  100000
148732.781     -3   -725426.453  159126107.429  9221.219  19.078  1.000  4.560  5.790  1.531  0.020  100000
109073.406      1   -725426.453  159124632.063  9257.647  19.609  1.000  4.560  5.790  1.531  0.020  100000
109007.688     -1   528336.916  159124617.739  9257.563  20.609  1.000  4.560  5.790  1.531  0.020  100000
109007.188      1   530424.128  -218542819.148  9257.563  20.325  1.000  4.560  5.790  1.531  0.020  100000
-189920.500     -1   530419.260  -217631157.352  -12714.239  19.469  1.000  4.560  5.790  1.531  0.020  100000
-148881.031      0   530419.260  -217629094.704  -12661.201  18.361  1.000  4.560  5.790  1.531  0.020  100000
-148975.891      1   -728472.249  -217629094.704  -12661.080  18.719  1.000  4.560  5.790  1.531  0.020  100000
-148977.547     -2   -725433.391  158499950.503  -12661.080  18.106  1.000  4.560  5.790  1.531  0.020  100000
148733.109      0   -725426.453  159126107.429  9221.220  19.219  1.000  4.560  5.790  1.531  0.020  100000
109070.430      0   -725426.453  159124632.063  9257.647  18.322  1.000  4.560  5.790  1.531  0.020  100000
109007.094      2   528336.972  159124617.739  9257.563  20.358  1.000  4.560  5.790  1.531  0.020  100000
109001.531     -1   530424.128  -218542819.148  9257.563  17.861  1.000  4.560  5.790  1.531  0.020  100000
-189920.266      0   530419.260  -217631157.352  -12714.239  19.573  1.000  4.560  5.790  1.531  0.020  100000
-148877.406     -2   530419.260  -217629094.704  -12661.201  19.946  1.000  4.560  5.790  1.531  0.020  100000
-148971.453     -2   -728472.249  -217629094.704  -12661.080  20.653  1.000  4.560  5.790  1.531  0.020  100000
-148971.516     -2   -725433.391  158499950.503  -12661.080  20.720  1.000  4.560  5.790  1.531  0.020  100000
148730.984      0   -725426.453  159126107.429  9221.220  18.287  1.000  4.560  5.790  1.531  0.020  100000
109072.117      0   -725426.453  159124632.063  9257.647  19.051  1.000  4.560  5.790  1.531  0.020  100000
108999.844      1   528336.972  159124617.739  9257.563  17.191  1.000  4.560  5.790  1.531  0.020  100000
109006.469     -1   530424.128  -218542819.148  9257.563  20.018  1.000  4.560  5.790  1.531  0.020  100000
-189922.813     -2   530419.260  -217631157.352  -12714.239  18.473  1.000  4.560  5.790  1.531  0.020  100000
-148876.672     -2   530419.260  -217629094.704  -12661.201  20.270  1.000  4.560  5.790  1.531  0.020  100000
-148977.656     -1   -728472.249  -217629094.704  -12661.080  17.939  1.000  4.560  5.790  1.531  0.020  100000
-148973.375     -1   -725433.391  158499950.503  -12661.080  19.916  1.000  4.560  5.790  1.531  0.020  100000
148729.375     -1   -725426.453  159126107.429  9221.219  17.593  1.000  4.560  5.790  1.531  0.020  100000
109072.422     -1   -725426.453  159124632.063  9257.647  19.182  1.000  4.560  5.790  1.531  0.020  100000
109004.047     -1   528336.916  159124617.739  9257.563  19.028  1.000  4.560  5.790  1.531  0.020  100000
108999.492     -2   530424.128  -218542819.148  9257.563  16.975  1.000  4.560  5.790  1.531  0.020  100000
-189923.281      0   530419.260  -217631157.352  -12714.239  18.269  1.000  4.560  5.790  1.531  0.020  100000
-148888.531     -1   530419.260  -217629094.704  -12661.201  15.104  1.000  4.560  5.790  1.531  0.020  100000
-148976.469      0   -728472.249  -217629094.704  -12661.080  18.475  1.000  4.560  5.790  1.531  0.020  100000
-148979.578     -2   -725433.391  158499950.503  -12661.080  17.212  1.000  4.560  5.790  1.531  0.020  100000
148732.813     -1   -725426.453  159126107.429  9221.219  19.102  1.000  4.560  5.790  1.531  0.020  100000
109069.516     -1   -725426.453  159124632.063  9257.647  17.920  1.000  4.560  5.790  1.531  0.020  100000
109002.578     -1   528336.916  159124617.739  9257.563  18.381  1.000  4.560  5.790  1.531  0.020  100000
109002.711      1   530424.128  -218542819.148  9257.563  18.379  1.000  4.560  5.790  1.531  0.020  100000
-189922.891      0   530419.260  -217631157.352  -12714.239  18.433  1.000  4.560  5.790  1.531  0.020  100000
-148881.641     -1   530419.260  -217629094.704  -12661.201  18.100  1.000  4.560  5.790  1.531  0.020  100000
-148978.469     -2   -728472.249  -217629094.704  -12661.080  17.595  1.000  4.560  5.790  1.531  0.020  100000
-148975.906     -2   -725433.391  158499950.503  -12661.080  18.814  1.000  4.560  5.790  1.531  0.020  100000
148732.094      1   -725426.453  159126107.429  9221.219  18.784  1.000  4.560  5.790  1.531  0.020  100000
109069.172      0   -725426.453  159124632.063  9257.647  17.764  1.000  4.560  5.790  1.531  0.020  100000
109005.055      1   528336.916  159124617.739  9257.563  19.466  1.000  4.560  5.790  1.531  0.020  100000
108998.523      0   530424.128  -218542819.148  9257.563  16.549  1.000  4.560  5.790  1.531  0.020  100000
-189920.688      0   530419.260  -217631157.352  -12714.239  19.400  1.000  4.560  5.790  1.531  0.020  100000
-148885.328      0   530419.260  -217629094.704  -12661.201  16.493  1.000  4.560  5.790  1.531  0.020  100000
-148973.766      0   -728472.249  -217629094.704  -12661.080  19.644  1.000  4.560  5.790  1.531  0.020  100000
-148979.641     -1   -725433.391  158499950.503  -12661.080  17.183  1.000  4.560  5.790  1.531  0.020  100000
148731.750      0   -725426.453  159126107.429  9221.219  18.638  1.000  4.560  5.790  1.531  0.020  100000
109071.492      0   -725426.453  159124632.063  9257.647  18.777  1.000  4.560  5.790  1.531  0.020  100000
109001.008     -2   528336.916  159124617.739  9257.563  17.699  1.000  4.560  5.790  1.531  0.020  100000
109004.406     -1   530424.128  -218542819.148  9257.563  19.114  1.000  4.560  5.790  1.531  0.020  100000
-189927.531     -2   530419.260  -217631157.352  -12714.239  16.408  1.000  4.560  5.790  1.531  0.020  100000
-148880.156      2   530419.260  -217629094.704  -12661.201  18.753  1.000  4.560  5.790  1.531  0.020  100000
-148975.375      0   -728472.249  -217629094.704  -12661.080  18.952  1.000  4.560  5.790  1.531  0.020  100000
-148976.203      0   -725433.391  158499950.503  -12661.080  18.683  1.000  4.560  5.790  1.531  0.020  100000
148731.453     -1   -725426.453  159126107.429  9221.220  18.496  1.000  4.560  5.790  1.531  0.020  100000
