OmegaControlKF
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  vel_motor[rad / s]
0.287016  -0.016  0.014  -0.013  0.144  -0.000
0.288016  -0.016  0.014  -0.013  0.144  -0.000
0.289016  -0.015  0.014  -0.013  0.144  -0.000
0.290016  -0.015  0.014  -0.013  0.145  -0.000
0.291016  -0.015  0.014  -0.013  0.145  -0.000
0.292016  -0.031  0.014  -0.013  0.145  -0.000
0.293016  -0.030  0.014  -0.013  0.145  -0.000
0.294016  -0.030  0.014  -0.013  0.146  -0.000
0.295016  -0.030  0.014  -0.013  0.146  -0.000
0.296017  -0.030  0.014  -0.013  0.146  -0.000
0.297017  -0.027  0.014  -0.013  0.146  -0.000
0.298017  -0.027  0.014  -0.013  0.147  -0.000
0.299017  -0.027  0.014  -0.013  0.147  -0.000
0.300017  -0.027  0.014  -0.013  0.147  -0.000
0.301017  -0.026  0.014  -0.013  0.148  -0.000
0.302017  -0.093  0.014  -0.013  0.148  -0.000
0.303017  -0.093  0.014  -0.013  0.148  -0.000
0.304017  -0.092  0.014  -0.013  0.149  -0.000
0.305017  -0.091  0.014  -0.013  0.149  -0.000
0.306017  -0.091  0.013  -0.013  0.149  -0.000
0.307017  -0.071  0.013  -0.013  0.150  -0.000
0.308017  -0.070  0.013  -0.013  0.150  -0.000
0.309017  -0.070  0.013  -0.013  0.151  -0.000
0.310017  -0.069  0.013  -0.013  0.151  -0.000
0.311017  -0.069  0.013  -0.013  0.152  -0.000
0.312017  -0.071  0.013  -0.013  0.152  -0.000
0.313017  -0.071  0.013  -0.013  0.152  -0.000
0.314018  -0.070  0.013  -0.013  0.152  -0.000
0.315018  -0.070  0.013  -0.013  0.152  -0.000
0.316018  -0.069  0.013  -0.013  0.153  -0.000
0.317018  -0.034  0.013  -0.013  0.153  -0.000
0.318018  -0.033  0.013  -0.013  0.153  -0.000
0.319018  -0.033  0.013  -0.013  0.154  -0.000
0.320018  -0.033  0.013  -0.013  0.154  -0.000
0.321018  -0.033  0.013  -0.013  0.154  -0.000
0.322018  0.001  0.013  -0.013  0.155  -0.000
0.323018  0.001  0.013  -0.013  0.155  -0.000
0.324018  0.001  0.013  -0.013  0.155  -0.000
0.325018  0.001  0.013  -0.013  0.155  -0.000
0.326018  0.001  0.013  -0.013  0.155  -0.000
0.327018  -0.076  0.013  -0.013  0.156  -0.000
0.328018  -0.076  0.012  -0.013  0.156  -0.000
0.329018  -0.075  0.012  -0.013  0.156  -0.000
