acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rpm]  actual_Vel[rpm]  Voltage[V]
-0.224  -0.038  0.001  -0.003  -37.257      0  0.000
-0.109  -0.039  0.001  -0.003  -23.406      0  0.000
-0.034  -0.041  -0.005  -0.003  -52.190      0  0.000
0.003  -0.033  -0.009  -0.003  -99.777      0  0.000
0.019  -0.017  -0.011  -0.002  -152.265      0  0.000
-0.014  0.002  -0.013  -0.001  -207.999      0  0.000
-0.083  0.022  -0.015  -0.000  -265.320      0  0.000
-0.194  0.037  -0.023  0.000  -365.281      0  0.000
-0.222  0.039  -0.013  -0.001  -380.395      0  0.000
-0.174  0.040  -0.004  -0.001  -332.506      0  0.000
-0.090  0.036  -0.000  -0.000  -265.805      0  0.000
0.010  0.040  -0.001  0.000  -219.374      0  0.000
0.093  0.039  -0.005  0.001  -207.917      0  0.000
0.147  0.033  -0.004  0.000  -192.677      0  0.000
0.192  0.023  -0.001  0.000  -160.879      0  0.000
0.220  0.018  -0.000  0.001  -128.661      0  0.000
0.224  0.017  0.000  0.001  -100.646      0  0.000
0.179  0.023  -0.003  0.001  -103.238      0  0.000
0.070  0.021  -0.003  0.000  -100.875      0  0.000
0.075  0.010  0.010  -0.000  -15.286      0  0.000
0.110  0.003  0.009  0.000  49.359      0  0.000
0.204  -0.002  0.017  0.001  154.497      0  0.000
0.232  -0.003  0.010  0.000  191.188      0  0.000
0.165  -0.007  -0.000  -0.000  152.649      0  0.000
0.066  -0.007  -0.006  0.000  83.804      0  0.000
0.012  -0.014  -0.002  -0.001  55.591      0  0.000
0.001  -0.015  0.005  -0.000  75.154      0  0.000
0.047  -0.011  0.015  0.000  162.775      0  0.000
0.027  -0.002  0.011  0.000  204.476      0  0.000
-0.129  -0.003  -0.011  -0.000  88.559      0  0.000
-0.156  -0.006  -0.005  0.000  39.092      0  0.000
-0.421  -0.009  -0.049  -0.001  -299.068      0  0.000
-0.364  -0.007  -0.013  -0.000  -328.540      0  0.000
-0.241  -0.006  0.001  -0.001  -257.506      0  0.000
-0.204  -0.005  -0.004  0.000  -233.661      0  0.000
-0.215  -0.002  -0.007  -0.000  -232.779      0  0.000
-0.206  -0.012  -0.008  -0.002  -241.542      0  0.000
-0.140  -0.017  -0.007  -0.002  -239.831      0  0.000
-0.009  -0.021  -0.010  -0.002  -262.445      0  0.000
0.089  -0.014  -0.016  -0.001  -320.922      0  0.000
0.023  -0.009  -0.024  -0.000  -420.655      0  0.000
-0.063  0.001  -0.038  0.000  -594.923      0  0.000
-0.421  -0.000  -0.040  -0.001  -744.962      0  0.000
-0.539  -0.001  -0.038  -0.001  -855.847      0  0.000
-0.540  0.006  -0.040  0.000  -952.539      0  0.000
-0.545  0.017  -0.043  0.000  -1049.473      0  0.000
-0.490  0.030  -0.037  0.001  -1086.587      0  0.000
-0.408  0.032  -0.036  0.001  -1112.081      0  0.000
-0.289  0.026  -0.036  0.000  -1136.086      0  0.000
-0.179  0.017  -0.040  0.000  -1178.600      0  0.000
-0.048  0.012  -0.035  0.000  -1177.861      0  0.000
