acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  acc_motor[rad/s2]  actual_Vel[rad/s]
-2.435  -0.001  -1.399  -0.001  -3.770  -0.004  -13.929  0.000      0
-2.604  0.005  -1.524  0.002  -3.991  0.005  -15.467  0.000      0
-2.478  -0.007  -1.466  -0.005  -3.738  -0.013  -16.434  0.000      0
-1.875  0.005  -1.109  0.002  -2.725  0.005  -16.093  0.000      0
-0.833  -0.004  -0.473  -0.003  -1.024  -0.008  -13.979  0.000      0
0.098  0.002  0.102  0.001  0.478  0.001  -10.650  0.000      0
0.333  -0.001  0.250  -0.001  0.848  -0.004  -7.590  0.000      0
0.072  0.002  0.090  0.001  0.421  0.001  -5.607  0.000      0
-0.231  0.002  -0.100  0.001  -0.070  0.001  -4.556  0.000      0
-0.548  -0.001  -0.299  -0.001  -0.576  -0.004  -4.270  0.000      0
-1.001  -0.001  -0.587  -0.001  -1.293  -0.004  -4.820  0.000      0
-0.490  0.005  -0.276  0.003  -0.460  0.006  -4.347  0.000      0
0.504  -0.001  0.342  -0.001  1.138  -0.004  -2.239  0.000      0
1.132  0.002  0.738  0.001  2.127  0.001  0.526  0.000      0
1.377  -0.001  0.900  -0.001  2.492  -0.004  3.128  0.000      0
1.233  -0.001  0.821  -0.001  2.229  -0.004  4.921  0.000      0
0.750  0.002  0.529  0.001  1.428  0.001  5.487  0.000      0
0.161  0.002  0.167  0.001  0.468  0.001  4.895  0.000      0
-0.462  -0.004  -0.221  -0.003  -0.535  -0.008  3.325  0.000      0
-1.017  0.002  -0.571  0.001  -1.416  0.001  1.119  0.000      0
-1.252  -0.001  -0.726  -0.001  -1.774  -0.003  -1.037  0.000      0
-1.233  0.002  -0.725  0.001  -1.721  0.001  -2.699  0.000      0
-1.196  0.002  -0.711  0.001  -1.640  0.001  -3.939  0.000      0
-1.157  -0.001  -0.696  -0.001  -1.556  -0.004  -4.842  0.000      0
-1.097  -0.004  -0.668  -0.003  -1.440  -0.008  -5.441  0.000      0
-1.028  0.005  -0.634  0.003  -1.311  0.006  -5.769  0.000      0
-1.035  0.008  -0.646  0.004  -1.306  0.010  -6.022  0.000      0
-0.959  -0.007  -0.607  -0.005  -1.168  -0.014  -6.092  0.000      0
-1.008  0.005  -0.645  0.003  -1.231  0.006  -6.202  0.000      0
-1.097  -0.001  -0.709  -0.001  -1.358  -0.004  -6.434  0.000      0
-1.373  0.002  -0.891  0.001  -1.783  0.001  -7.080  0.000      0
