acc_{hum}[rpm/s]  acc_{exo}[rpm/s]  vel_{hum}[rpm]  vel_{exo}[rpm]  vel_{motor}[rpm]  actual\_Vel[rpm]  Voltage[V]
-0.002  130.786  -0.001  0.000  -23.049     -2  0.013
-0.017  132.357  -0.002  0.000  -48.144     -2  0.013
-0.018  129.082  0.000  0.000  2.463     -2  0.013
-0.009  122.209  0.000  0.000  10.413     -1  0.006
-0.006  117.790  -0.001  0.000  -34.775     -1  0.006
0.002  95.204  -0.001  0.000  -23.648     -3  0.019
0.002  73.871  -0.001  0.000  -27.112     -3  0.019
-0.003  46.895  -0.001  0.000  -30.735     -3  0.019
-0.002  20.250  -0.001  0.000  -28.225     -3  0.019
-0.001  -7.539  -0.001  0.000  -17.690     -4  0.025
-0.001  -30.384  -0.001  0.000  -13.090     -4  0.025
-0.004  -51.368  -0.001  0.000  -27.486     -7  0.044
-0.011  -83.431  -0.001  0.000  -20.161    -10  0.063
-0.007  -110.123  -0.001  0.000  -14.434    -10  0.063
0.008  -130.010  0.000  0.000  25.577    -12  0.076
0.013  -147.221  0.000  0.000  27.307    -14  0.089
0.012  -162.662  -0.001  0.000  0.351    -14  0.089
0.009  -167.750  -0.001  0.000  -7.779    -14  0.089
0.003  -155.217  -0.001  0.000  -16.086    -13  0.082
0.003  -119.355  -0.000  0.000  3.650    -11  0.070
0.003  -67.247  -0.001  0.000  -4.662     -9  0.057
0.002  -9.202  -0.001  0.000  -12.826     -9  0.057
-0.007  37.134  -0.002  0.000  -38.230     -8  0.051
-0.009  71.973  -0.000  0.000  -3.923     -6  0.038
-0.015  107.678  -0.001  0.000  -33.542     -5  0.032
-0.006  151.069  -0.000  0.000  -5.509     -1  0.006
0.002  174.619  -0.000  0.000  -13.477     -1  0.006
-0.000  179.125  -0.002  0.000  -45.071     -1  0.006
0.001  164.100  -0.000  0.000  -12.413     -1  0.006
-0.003  139.293  -0.001  0.000  -33.751     -1  0.006
-0.004  122.353  -0.001  0.000  -43.547      0  0.000
-0.002  112.708  -0.001  0.000  -32.188      0  0.000
-0.007  84.338  -0.002  0.000  -58.841     -2  0.013
-0.008  30.734  -0.000  0.000  -8.146     -5  0.032
-0.003  -36.391  -0.001  0.000  -9.694     -8  0.051
-0.002  -93.211  -0.000  0.000  2.799     -8  0.051
0.010  -139.844  0.000  0.000  27.189    -13  0.082
0.016  -179.770  -0.000  0.000  12.445    -15  0.095
0.013  -207.558  -0.001  0.000  5.236    -15  0.095
0.020  -229.531  0.000  0.000  25.736    -16  0.101
0.021  -227.089  0.000  0.000  24.152    -14  0.089
0.008  -182.872  -0.002  0.000  -39.370    -11  0.070
-0.003  -118.375  -0.002  0.000  -42.346    -11  0.070
-0.015  -50.285  -0.001  0.000  -23.746    -10  0.063
-0.019  11.588  -0.001  0.000  -32.702     -8  0.051
-0.017  59.249  -0.000  0.000  0.233     -7  0.044
-0.010  105.434  0.000  0.000  10.797     -7  0.044
-0.003  129.618  -0.000  0.000  -6.796     -6  0.038
0.000  138.703  -0.001  0.000  -13.549     -5  0.032
0.004  139.380  -0.000  0.000  -8.317     -4  0.025
0.011  130.911  -0.000  0.000  -8.875     -2  0.013
0.019  125.523  -0.001  0.000  -16.726     -1  0.006
0.013  127.329  -0.001  0.000  -17.508     -1  0.006
0.010  120.131  0.000  0.000  6.125     -1  0.006
0.004  104.981  -0.001  0.000  -20.817     -1  0.006
-0.004  89.829  -0.001  0.000  -24.299     -1  0.006
-0.006  76.085  -0.001  0.000  -24.367     -1  0.006
-0.005  58.163  -0.001  0.000  -31.218     -1  0.006
-0.005  40.052  -0.001  0.000  -20.269     -1  0.006
-0.007  22.555  -0.001  0.000  -26.444     -1  0.006
-0.009  5.948  -0.001  0.000  -33.612     -1  0.006
-0.009  -6.462  -0.001  0.000  -30.290     -2  0.013
-0.009  -21.144  -0.001  0.000  -21.348     -4  0.025
-0.007  -33.660  -0.001  0.000  -14.848     -4  0.025
-0.003  -59.043  -0.001  0.000  -29.832     -7  0.044
-0.002  -91.227  -0.001  0.000  -15.504     -9  0.057
-0.001  -125.551  -0.001  0.000  -7.755    -11  0.070
0.002  -148.118  -0.001  0.000  -1.019    -11  0.070
0.001  -172.115  -0.001  0.000  -7.868    -14  0.089
0.007  -189.093  -0.000  0.000  15.811    -15  0.095
0.008  -181.961  -0.001  0.000  2.217    -13  0.082
0.006  -158.785  -0.001  0.000  -6.061    -13  0.082
0.004  -117.652  -0.001  0.000  -6.838    -11  0.070
0.001  -67.444  -0.001  0.000  -23.526     -9  0.057
0.007  -8.089  0.000  0.000  14.110     -8  0.051
0.005  62.464  -0.000  0.000  -5.889     -3  0.019
0.005  118.232  -0.000  0.000  -6.717     -3  0.019
0.000  153.167  -0.001  0.000  -30.911     -3  0.019
0.002  180.952  -0.000  0.000  -8.488     -2  0.013
0.001  181.440  -0.000  0.000  -7.460     -2  0.013
0.004  161.353  -0.000  0.000  -7.374     -2  0.013
0.001  138.880  -0.001  0.000  -28.422     -2  0.013
-0.001  112.494  -0.001  0.000  -20.887     -1  0.006
-0.005  85.643  -0.001  0.000  -34.393     -1  0.006
-0.012  59.763  -0.001  0.000  -35.560     -1  0.006
-0.005  31.741  -0.000  0.000  -3.407     -1  0.006
-0.002  25.924  -0.001  0.000  -15.637     -1  0.006
-0.001  11.868  -0.001  0.000  -22.462     -3  0.019
