accBasedPosition [2021-02-13-21-39-20]
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  theta_m[rad]
0.256014  0.043  0.006  -0.006  0.000  0.000
0.257014  0.043  0.006  -0.006  0.000  0.000
0.258014  0.043  0.006  -0.006  0.000  0.000
0.259014  0.043  0.006  -0.006  0.000  0.000
0.260014  0.043  0.006  -0.006  0.000  0.000
0.261015  0.043  0.006  -0.006  0.000  0.000
0.262015  0.043  0.006  -0.006  0.000  0.000
0.263015  -0.012  0.006  -0.006  0.000  0.000
0.264015  -0.012  0.006  -0.006  0.000  0.000
0.265015  -0.012  0.006  -0.006  0.000  0.000
0.266015  -0.012  0.006  -0.006  0.000  0.000
0.267015  -0.012  0.006  -0.006  0.000  0.000
0.268015  -0.012  0.006  -0.006  0.000  0.000
0.269015  -0.012  0.006  -0.006  0.000  0.000
0.270015  0.037  0.006  -0.006  0.000  0.000
0.271015  0.037  0.006  -0.006  0.000  0.000
0.272015  0.037  0.006  -0.006  0.000  0.000
0.273015  0.037  0.006  -0.006  0.000  0.000
0.275015  0.037  0.006  -0.006  0.000  0.000
0.276015  0.037  0.006  -0.006  0.000  0.000
0.277015  0.037  0.006  -0.006  0.000  0.000
0.278015  -0.018  0.006  -0.005  0.000  0.000
0.279016  -0.018  0.006  -0.005  0.000  0.000
0.280016  -0.018  0.006  -0.005  0.000  0.000
0.281016  -0.018  0.006  -0.005  0.000  0.000
0.282016  -0.018  0.006  -0.005  0.000  0.000
0.283016  -0.018  0.006  -0.005  0.000  0.000
0.284016  -0.018  0.006  -0.005  0.000  0.000
0.285016  -0.013  0.006  -0.006  0.000  0.000
0.286016  -0.013  0.006  -0.006  0.000  0.000
0.287016  -0.013  0.006  -0.006  0.000  0.000
0.288016  -0.013  0.006  -0.006  0.000  0.000
0.289016  -0.013  0.006  -0.006  0.000  0.000
0.290016  -0.013  0.006  -0.006  0.000  0.000
0.291016  -0.013  0.006  -0.006  0.000  0.000
0.292016  -0.011  0.006  -0.006  0.000  0.000
0.293016  -0.011  0.006  -0.006  0.000  0.000
0.294016  -0.011  0.006  -0.006  0.000  0.000
0.295016  -0.011  0.006  -0.006  0.000  0.000
0.296017  -0.011  0.006  -0.006  0.000  0.000
0.297017  -0.011  0.006  -0.006  0.000  0.000
0.298017  -0.011  0.006  -0.006  0.000  0.000
0.299017  -0.056  0.005  -0.006  0.000  0.000
0.300017  -0.056  0.005  -0.006  0.000  0.000
0.301017  -0.056  0.005  -0.006  0.000  0.000
0.302017  -0.056  0.005  -0.006  0.000  0.000
0.303017  -0.056  0.005  -0.006  0.000  0.000
0.304017  -0.056  0.005  -0.006  0.000  0.000
0.305017  -0.056  0.005  -0.006  0.000  0.000
0.306017  0.003  0.005  -0.006  0.000  0.000
0.307017  0.003  0.005  -0.006  0.000  0.000
0.308017  0.003  0.005  -0.006  0.000  0.000
0.309017  0.003  0.005  -0.006  0.000  0.000
0.310017  0.003  0.005  -0.006  0.000  0.000
0.311017  0.003  0.005  -0.006  0.000  0.000
0.312017  0.003  0.005  -0.006  0.000  0.000
0.313017  -0.043  0.005  -0.006  0.000  0.000
0.314018  -0.043  0.005  -0.006  0.000  0.000
0.315018  -0.043  0.005  -0.006  0.000  0.000
0.316018  -0.043  0.005  -0.006  0.000  0.000
0.317018  -0.043  0.005  -0.006  0.000  0.000
0.318018  -0.043  0.005  -0.006  0.000  0.000
0.319018  -0.043  0.005  -0.006  0.000  0.000
0.320018  0.014  0.005  -0.007  0.000  0.000
0.321018  0.014  0.005  -0.007  0.000  0.000
0.322018  0.014  0.005  -0.007  0.000  0.000
0.323018  0.014  0.005  -0.007  0.000  0.000
0.324018  0.014  0.005  -0.007  0.000  0.000
0.325018  0.014  0.005  -0.007  0.000  0.000
0.326018  0.014  0.005  -0.007  0.000  0.000
0.327018  -0.086  0.004  -0.007  0.000  0.000
0.328018  -0.086  0.004  -0.007  0.000  0.000
0.329018  -0.086  0.004  -0.007  0.000  0.000
0.330018  -0.086  0.004  -0.007  0.000  0.000
0.331019  -0.086  0.004  -0.007  0.000  0.000
0.332019  -0.086  0.004  -0.007  0.000  0.000
0.333019  -0.086  0.004  -0.007  0.000  0.000
0.334019  0.028  0.005  -0.007  0.000  0.000
