acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  exo_Vel[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]  theta_c[rad]  theta_l[rad]
0.005  0.006  -0.002  0.000  0.045  0.000  0.650  0.000  0.000  0.000  0.000  0.000
-0.001  0.012  -0.004  0.002  0.023  0.018  0.698  0.000  0.000  0.000  0.000  0.000
-0.007  -0.011  -0.006  -0.005  0.002  -0.056  0.828  0.000  0.000  0.000  0.000  0.000
0.008  0.012  -0.001  0.002  0.050  0.021  1.129  0.000  0.000  0.000  0.000  0.000
-0.012  0.006  -0.007  0.000  -0.015  -0.000  0.732  0.000  0.000  0.000  0.000  0.000
-0.006  0.001  -0.005  -0.002  0.006  -0.017  0.731  0.000  0.000  0.000  0.000  0.000
-0.004  0.000  -0.005  -0.002  0.013  -0.017  0.806  0.000  0.000  0.000  0.000  0.000
-0.001  0.012  -0.004  0.002  0.020  0.020  0.787  0.000  0.000  0.000  0.000  0.000
0.002  0.006  -0.003  0.000  0.030  -0.001  0.978  0.000  0.000  0.000  0.000  0.000
-0.002  0.011  -0.004  0.002  0.017  0.018  0.907  0.000  0.000  0.000  0.000  0.000
-0.005  -0.006  -0.005  -0.003  0.008  -0.038  0.986  0.000  0.000  0.000  0.000  0.000
0.009  -0.000  -0.001  -0.002  0.051  -0.018  1.443  0.000  0.000  0.000  0.000  0.000
0.017  0.006  0.002  0.000  0.077  0.001  2.016  0.000  0.000  0.000  0.000  0.000
0.043  0.000  0.010  -0.001  0.157  -0.017  3.456  0.000  0.000  0.000  0.000  0.000
0.034  0.006  0.008  0.000  0.122  0.001  4.139  0.000  0.000  0.000  0.000  0.000
0.032  0.006  0.007  0.000  0.116  0.001  4.613  0.000  0.000  0.000  0.000  0.000
0.036  0.005  0.009  0.000  0.125  -0.000  5.102  0.000  0.000  0.000  0.000  0.000
0.036  0.011  0.009  0.002  0.120  0.018  5.356  0.000  0.000  0.000  0.000  0.000
0.049  0.005  0.013  0.000  0.159  -0.002  6.088  0.000  0.000  0.000  0.000  0.000
0.029  -0.007  0.008  -0.003  0.090  -0.041  6.068  0.000  0.000  0.000  0.000  0.000
0.016  -0.006  0.004  -0.003  0.047  -0.037  5.551  0.000  0.000  0.000  0.000  0.000
-0.012  0.006  -0.005  0.000  -0.043  0.002  3.950  0.000  0.000  0.000  0.000  0.000
-0.010  0.005  -0.004  0.000  -0.036  0.002  2.752  0.000  0.000  0.000  0.000  0.000
-0.012  -0.000  -0.005  -0.001  -0.040  -0.017  1.831  0.000  0.000  0.000  0.000  0.000
-0.027  0.005  -0.010  0.000  -0.089  0.002  0.461  0.000  0.000  0.000  0.000  0.000
-0.024  -0.000  -0.009  -0.001  -0.076  -0.016  -0.413  0.000  0.000  0.000  0.000  0.000
