vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
0.392  0.000  0.000  0.000  0.000  0.000
0.398  0.000  0.000  0.000  0.000  0.000
0.324  0.000  0.000  0.000  0.000  0.000
0.238  0.000  0.000  0.000  0.000  0.000
0.223  0.000  0.000  0.000  0.000  0.000
0.300  0.000  0.000  0.000  0.000  0.000
0.340  0.000  0.000  0.000  0.000  0.000
0.319  0.000  0.000  0.000  0.000  0.000
0.182  0.000  0.000  0.000  0.000  0.000
0.098  0.000  0.000  0.000  0.000  0.000
0.128  0.000  0.000  0.000  0.000  0.000
0.242  0.000  0.000  0.000  0.000  0.000
0.290  0.000  0.000  0.000  0.000  0.000
0.246  0.000  0.000  0.000  0.000  0.000
0.083  0.000  0.000  0.000  0.000  0.000
-0.018  0.000  0.000  0.000  0.000  0.000
-0.061  0.000  0.000  0.000  0.000  0.000
-0.077  0.000  0.000  0.000  0.000  0.000
-0.079  0.000  0.000  0.000  0.000  0.000
-0.081  0.000  0.000  0.000  0.000  0.000
-0.076  0.000  0.000  0.000  0.000  0.000
-0.033  0.000  0.000  0.000  0.000  0.000
0.009  0.000  0.000  0.000  0.000  0.000
0.023  0.000  0.000  0.000  0.000  0.000
0.061  0.000  0.000  0.000  0.000  0.000
0.108  0.000  0.000  0.000  0.000  0.000
0.141  0.000  0.000  0.000  0.000  0.000
0.119  0.000  0.000  0.000  0.000  0.000
0.114  0.000  0.000  0.000  0.000  0.000
0.110  0.000  0.000  0.000  0.000  0.000
0.116  0.000  0.000  0.000  0.000  0.000
0.130  0.000  0.000  0.000  0.000  0.000
0.123  0.000  0.000  0.000  0.000  0.000
0.124  0.000  0.000  0.000  0.000  0.000
0.111  0.000  0.000  0.000  0.000  0.000
0.099  0.000  0.000  0.000  0.000  0.000
0.106  0.000  0.000  0.000  0.000  0.000
0.119  0.000  0.000  0.000  0.000  0.000
0.101  0.000  0.000  0.000  0.000  0.000
0.093  0.000  0.000  0.000  0.000  0.000
0.098  0.000  0.000  0.000  0.000  0.000
0.100  0.000  0.000  0.000  0.000  0.000
0.091  0.000  0.000  0.000  0.000  0.000
0.083  0.000  0.000  0.000  0.000  0.000
0.082  0.000  0.000  0.000  0.000  0.000
0.085  0.000  0.000  0.000  0.000  0.000
0.074  0.000  0.000  0.000  0.000  0.000
0.061  0.000  0.000  0.000  0.000  0.000
0.050  0.000  0.000  0.000  0.000  0.000
0.033  0.000  0.000  0.000  0.000  0.000
0.021  0.000  0.000  0.000  0.000  0.000
0.021  0.000  0.000  0.000  0.000  0.000
0.006  0.000  0.000  0.000  0.000  0.000
0.004  0.000  0.000  0.000  0.000  0.000
-0.005  0.000  0.000  0.000  0.000  0.000
-0.006  0.000  0.000  0.000  0.000  0.000
-0.033  0.000  0.000  0.000  0.000  0.000
-0.050  0.000  0.000  0.000  0.000  0.000
-0.053  0.000  0.000  0.000  0.000  0.000
-0.057  0.000  0.000  0.000  0.000  0.000
-0.065  0.000  0.000  0.000  0.000  0.000
-0.070  0.000  0.000  0.000  0.000  0.000
-0.075  0.000  0.000  0.000  0.000  0.000
-0.073  0.000  0.000  0.000  0.000  0.000
-0.086  0.000  0.000  0.000  0.000  0.000
-0.087  0.000  0.000  0.000  0.000  0.000
-0.080  0.000  0.000  0.000  0.000  0.000
-0.080  0.000  0.000  0.000  0.000  0.000
-0.093  0.000  0.000  0.000  0.000  0.000
-0.091  0.000  0.000  0.000  0.000  0.000
-0.095  0.000  0.000  0.000  0.000  0.000
-0.093  0.000  0.000  0.000  0.000  0.000
-0.091  0.000  0.000  0.000  0.000  0.000
-0.094  0.000  0.000  0.000  0.000  0.000
-0.090  0.000  0.000  0.000  0.000  0.000
-0.087  0.000  0.000  0.000  0.000  0.000
-0.085  0.000  0.000  0.000  0.000  0.000
-0.082  0.000  0.000  0.000  0.000  0.000
-0.103  0.000  0.000  0.000  0.000  0.000
-0.099  0.000  0.000  0.000  0.000  0.000
-0.093  0.000  0.000  0.000  0.000  0.000
-0.088  0.000  0.000  0.000  0.000  0.000
-0.100  0.000  0.000  0.000  0.000  0.000
-0.108  0.000  0.000  0.000  0.000  0.000
-0.108  0.000  0.000  0.000  0.000  0.000
-0.104  0.000  0.000  0.000  0.000  0.000
-0.110  0.000  0.000  0.000  0.000  0.000
-0.108  0.000  0.000  0.000  0.000  0.000
-0.105  0.000  0.000  0.000  0.000  0.000
-0.116  0.000  0.000  0.000  0.000  0.000
-0.113  0.000  0.000  0.000  0.000  0.000
-0.115  0.000  0.000  0.000  0.000  0.000
-0.118  0.000  0.000  0.000  0.000  0.000
-0.123  0.000  0.000  0.000  0.000  0.000
-0.132  0.000  0.000  0.000  0.000  0.000
-0.138  0.000  0.000  0.000  0.000  0.000
-0.151  0.000  0.000  0.000  0.000  0.000
-0.154  0.000  0.000  0.000  0.000  0.000
-0.153  0.000  0.000  0.000  0.000  0.000
-0.154  0.000  0.000  0.000  0.000  0.000
-0.149  0.000  0.000  0.000  0.000  0.000
-0.156  0.000  0.000  0.000  0.000  0.000
-0.145  0.000  0.000  0.000  0.000  0.000
-0.131  0.000  0.000  0.000  0.000  0.000
-0.124  0.000  0.000  0.000  0.000  0.000
-0.115  0.000  0.000  0.000  0.000  0.000
-0.104  0.000  0.000  0.000  0.000  0.000
-0.092  0.000  0.000  0.000  0.000  0.000
-0.080  0.000  0.000  0.000  0.000  0.000
-0.068  0.000  0.000  0.000  0.000  0.000
-0.056  0.000  0.000  0.000  0.000  0.000
-0.045  0.000  0.000  0.000  0.000  0.000
-0.032  0.000  0.000  0.000  0.000  0.000
-0.029  0.000  0.000  0.000  0.000  0.000
-0.015  0.000  0.000  0.000  0.000  0.000
-0.002  0.000  0.000  0.000  0.000  0.000
0.007  0.000  0.000  0.000  0.000  0.000
0.025  0.000  0.000  0.000  0.000  0.000
0.029  0.000  0.000  0.000  0.000  0.000
0.034  0.000  0.000  0.000  0.000  0.000
0.032  0.000  0.000  0.000  0.000  0.000
0.035  0.000  0.000  0.000  0.000  0.000
0.034  0.000  0.000  0.000  0.000  0.000
0.033  0.000  0.000  0.000  0.000  0.000
0.023  0.000  0.000  0.000  0.000  0.000
0.029  0.000  0.000  0.000  0.000  0.000
0.020  0.000  0.000  0.000  0.000  0.000
0.021  0.000  0.000  0.000  0.000  0.000
0.016  0.000  0.000  0.000  0.000  0.000
0.013  0.000  0.000  0.000  0.000  0.000
0.004  0.000  0.000  0.000  0.000  0.000
-0.001  0.000  0.000  0.000  0.000  0.000
-0.002  0.000  0.000  0.000  0.000  0.000
-0.012  0.000  0.000  0.000  0.000  0.000
-0.019  0.000  0.000  0.000  0.000  0.000
