SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
4.912      6   0.176  0.000  -0.153  -0.020  0.017  0.000  0.000  0.000
4.677      6   0.176  0.000  -0.164  -0.005  0.029  0.000  0.000  0.000
4.310      6   0.176  0.000  -0.257  -0.003  0.055  0.000  0.000  0.000
4.088      4   0.176  0.000  -0.223  0.010  0.052  0.000  0.000  0.000
4.901      4   0.176  0.000  0.231  0.080  0.034  0.000  0.000  0.000
4.920      4   0.176  0.000  -0.065  0.019  0.060  0.000  0.000  0.000
5.154      6   0.176  0.000  0.042  0.046  0.042  0.000  0.000  0.000
5.353      3   0.176  0.000  0.035  0.071  0.067  0.000  0.000  0.000
5.217      3   0.176  0.000  -0.095  0.040  0.063  0.000  0.000  0.000
5.562      3   0.176  0.000  0.111  0.079  0.059  0.000  0.000  0.000
5.628      4   0.176  0.000  0.024  0.032  0.042  0.000  0.000  0.000
5.497      3   0.176  0.000  -0.082  0.058  0.094  0.000  0.000  0.000
5.438      4   0.176  0.000  -0.033  0.027  0.033  0.000  0.000  0.000
4.656      4   0.176  0.000  -0.397  0.012  0.101  0.000  0.000  0.000
4.649      6   0.176  0.000  -0.095  0.039  0.053  0.000  0.000  0.000
4.430      2   0.176  0.000  -0.203  0.022  0.078  0.000  0.000  0.000
4.135      4   0.176  0.000  -0.255  0.008  0.073  0.000  0.000  0.000
4.009      4   0.176  0.000  -0.204  0.021  0.069  0.000  0.000  0.000
3.845      3   0.176  0.000  -0.224  0.005  0.052  0.000  0.000  0.000
3.798      5   0.176  0.000  -0.190  0.019  0.061  0.000  0.000  0.000
3.617      5   0.176  0.000  -0.247  -0.010  0.044  0.000  0.000  0.000
3.751      5   0.176  0.000  -0.114  0.004  0.026  0.000  0.000  0.000
3.710      4   0.176  0.000  -0.193  0.003  0.054  0.000  0.000  0.000
3.515      2   0.176  0.000  -0.252  -0.025  0.023  0.000  0.000  0.000
3.443      2   0.176  0.000  -0.219  -0.009  0.035  0.000  0.000  0.000
3.661      4   0.176  0.000  -0.082  -0.008  0.006  0.000  0.000  0.000
3.903      3   0.176  0.000  -0.051  -0.009  0.006  0.000  0.000  0.000
3.826      3   0.176  0.000  -0.172  -0.036  0.004  0.000  0.000  0.000
3.704      2   0.176  0.000  -0.207  -0.019  0.020  0.000  0.000  0.000
4.098      3   0.176  0.000  0.036  -0.005  -0.025  0.000  0.000  0.000
4.233      3   0.176  0.000  -0.047  -0.032  -0.022  0.000  0.000  0.000
4.383      3   0.176  0.000  -0.035  -0.017  -0.007  0.000  0.000  0.000
4.870      4   0.176  0.000  0.144  -0.001  -0.035  0.000  0.000  0.000
5.164      3   0.176  0.000  0.093  -0.001  -0.019  0.000  0.000  0.000
5.585      4   0.176  0.000  0.182  0.012  -0.031  0.000  0.000  0.000
5.831      2   0.176  0.000  0.135  0.010  -0.017  0.000  0.000  0.000
6.450      2   0.176  0.000  0.324  0.053  -0.013  0.000  0.000  0.000
6.425      5   0.176  0.000  0.084  0.007  -0.001  0.000  0.000  0.000
6.763      2   0.176  0.000  0.257  0.035  -0.027  0.000  0.000  0.000
6.645      2   0.176  0.000  0.063  0.019  0.016  0.000  0.000  0.000
6.585      6   0.176  0.000  0.085  0.020  0.000  0.000  0.000  0.000
6.261      4   0.176  0.000  -0.046  0.004  0.015  0.000  0.000  0.000
5.964      3   0.176  0.000  -0.056  -0.009  0.001  0.000  0.000  0.000
5.926      3   0.176  0.000  0.028  0.018  0.013  0.000  0.000  0.000
5.442      3   0.176  0.000  -0.197  0.002  0.055  0.000  0.000  0.000
5.577      4   0.176  0.000  0.066  0.018  -0.004  0.000  0.000  0.000
5.292      9   0.176  0.000  -0.123  -0.012  0.023  0.000  0.000  0.000
5.090      9   0.176  0.000  -0.111  0.002  0.021  0.000  0.000  0.000
4.739      4   0.176  0.000  -0.209  0.003  0.049  0.000  0.000  0.000
4.538      5   0.176  0.000  -0.158  -0.011  0.016  0.000  0.000  0.000
4.247      4   0.176  0.000  -0.230  -0.009  0.044  0.000  0.000  0.000
3.977      4   0.176  0.000  -0.240  -0.021  0.029  0.000  0.000  0.000
3.259      7   0.176  0.000  -0.477  -0.048  0.054  0.000  0.000  0.000
3.304      3   0.176  0.000  -0.178  -0.016  0.009  0.000  0.000  0.000
3.140      3   0.176  0.000  -0.287  -0.015  0.050  0.000  0.000  0.000
3.315      3   0.176  0.000  -0.141  -0.001  0.032  0.000  0.000  0.000
3.625      3   0.176  0.000  -0.063  0.012  0.031  0.000  0.000  0.000
3.612      4   0.176  0.000  -0.186  -0.003  0.042  0.000  0.000  0.000
3.955      4   0.176  0.000  -0.020  0.029  0.027  0.000  0.000  0.000
3.365      4   0.176  0.000  -0.435  -0.019  0.082  0.000  0.000  0.000
3.528      4   0.176  0.000  -0.146  0.051  0.076  0.000  0.000  0.000
3.564      1   0.176  0.000  -0.180  0.009  0.057  0.000  0.000  0.000
3.438      1   0.176  0.000  -0.273  0.035  0.108  0.000  0.000  0.000
3.060      3   0.176  0.000  -0.402  0.019  0.116  0.000  0.000  0.000
2.465      2   0.176  0.000  -0.544  0.019  0.136  0.000  0.000  0.000
2.064      1   0.176  0.000  -0.513  0.034  0.142  0.000  0.000  0.000
1.757      1   0.176  0.000  -0.510  0.031  0.148  0.000  0.000  0.000
1.976      2   0.176  0.000  -0.308  0.083  0.165  0.000  0.000  0.000
1.703      3   0.176  0.000  -0.506  0.022  0.155  0.000  0.000  0.000
1.387      3   0.176  0.000  -0.558  0.050  0.174  0.000  0.000  0.000
1.270      0   0.176  0.000  -0.486  0.047  0.149  0.000  0.000  0.000
1.196      3   0.176  0.000  -0.479  0.044  0.154  0.000  0.000  0.000
0.966      1   0.176  0.000  -0.559  0.027  0.160  0.000  0.000  0.000
1.242     -1   0.176  0.000  -0.340  0.053  0.135  0.000  0.000  0.000
1.609      2   0.176  0.000  -0.277  0.065  0.141  0.000  0.000  0.000
1.575      1   0.176  0.000  -0.414  0.019  0.118  0.000  0.000  0.000
1.687     -1   0.176  0.000  -0.361  0.060  0.139  0.000  0.000  0.000
2.117     -1   0.176  0.000  -0.198  0.069  0.118  0.000  0.000  0.000
2.546     -1   0.176  0.000  -0.149  0.051  0.096  0.000  0.000  0.000
2.906      1   0.176  0.000  -0.138  0.048  0.090  0.000  0.000  0.000
3.460      1   0.176  0.000  -0.010  0.059  0.071  0.000  0.000  0.000
3.367      0   0.176  0.000  -0.262  0.026  0.094  0.000  0.000  0.000
3.173      3   0.176  0.000  -0.313  0.026  0.087  0.000  0.000  0.000
3.464      0   0.176  0.000  -0.103  0.051  0.071  0.000  0.000  0.000
3.748      0   0.176  0.000  -0.078  0.033  0.066  0.000  0.000  0.000
4.046      1   0.176  0.000  -0.050  0.048  0.075  0.000  0.000  0.000
4.315      2   0.176  0.000  -0.028  0.042  0.056  0.000  0.000  0.000
4.485      2   0.176  0.000  -0.047  0.040  0.054  0.000  0.000  0.000
4.701      2   0.176  0.000  -0.003  0.037  0.036  0.000  0.000  0.000
5.063      3   0.176  0.000  0.084  0.048  0.034  0.000  0.000  0.000
5.757      2   0.176  0.000  0.267  0.073  0.031  0.000  0.000  0.000
6.658      2   0.176  0.000  0.443  0.069  -0.011  0.000  0.000  0.000
6.928      2   0.176  0.000  0.227  0.050  0.017  0.000  0.000  0.000
7.448      4   0.176  0.000  0.385  0.060  -0.026  0.000  0.000  0.000
7.748      5   0.176  0.000  0.325  0.056  -0.010  0.000  0.000  0.000
8.220      5   0.176  0.000  0.443  0.054  -0.038  0.000  0.000  0.000
8.327      6   0.176  0.000  0.320  0.023  -0.035  0.000  0.000  0.000
8.420      3   0.176  0.000  0.329  0.020  -0.047  0.000  0.000  0.000
8.323      5   0.176  0.000  0.244  0.019  -0.031  0.000  0.000  0.000
8.172      5   0.176  0.000  0.229  -0.012  -0.069  0.000  0.000  0.000
8.250      8   0.176  0.000  0.317  0.006  -0.066  0.000  0.000  0.000
8.530      4   0.176  0.000  0.413  0.020  -0.062  0.000  0.000  0.000
8.732      4   0.176  0.000  0.415  -0.001  -0.087  0.000  0.000  0.000
8.698      5   0.176  0.000  0.324  -0.011  -0.081  0.000  0.000  0.000
8.518      5   0.176  0.000  0.259  -0.023  -0.090  0.000  0.000  0.000
8.564      3   0.176  0.000  0.356  -0.024  -0.114  0.000  0.000  0.000
8.485      3   0.176  0.000  0.300  -0.036  -0.105  0.000  0.000  0.000
9.000      1   0.176  0.000  0.564  0.009  -0.114  0.000  0.000  0.000
9.142      0   0.176  0.000  0.433  -0.009  -0.093  0.000  0.000  0.000
8.890      0   0.176  0.000  0.272  -0.037  -0.101  0.000  0.000  0.000
8.956      0   0.176  0.000  0.403  -0.017  -0.123  0.000  0.000  0.000
9.205     -1   0.176  0.000  0.488  -0.003  -0.115  0.000  0.000  0.000
9.427      3   0.176  0.000  0.494  -0.005  -0.107  0.000  0.000  0.000
9.565      3   0.176  0.000  0.474  -0.004  -0.101  0.000  0.000  0.000
9.918      6   0.176  0.000  0.593  0.010  -0.122  0.000  0.000  0.000
9.786      6   0.176  0.000  0.390  -0.004  -0.087  0.000  0.000  0.000
9.727      7   0.176  0.000  0.421  -0.005  -0.109  0.000  0.000  0.000
9.741      8   0.176  0.000  0.446  -0.004  -0.102  0.000  0.000  0.000
9.767      8   0.176  0.000  0.443  0.008  -0.083  0.000  0.000  0.000
9.607      9   0.176  0.000  0.353  0.009  -0.064  0.000  0.000  0.000
9.540     13   0.176  0.000  0.378  0.022  -0.059  0.000  0.000  0.000
9.418     13   0.176  0.000  0.353  0.006  -0.071  0.000  0.000  0.000
9.283      9   0.176  0.000  0.327  0.017  -0.053  0.000  0.000  0.000
9.527      6   0.176  0.000  0.490  0.043  -0.062  0.000  0.000  0.000
9.427      5   0.176  0.000  0.343  0.028  -0.031  0.000  0.000  0.000
9.582      5   0.176  0.000  0.454  0.052  -0.043  0.000  0.000  0.000
10.213      8   0.176  0.000  0.695  0.077  -0.069  0.000  0.000  0.000
10.738     10   0.176  0.000  0.702  0.071  -0.065  0.000  0.000  0.000
10.941     10   0.176  0.000  0.596  0.068  -0.045  0.000  0.000  0.000
10.988      8   0.176  0.000  0.536  0.081  -0.029  0.000  0.000  0.000
