vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
-0.094  -0.000  0.000  0.000  0.000  0.000
-0.092  -0.000  0.000  0.000  0.000  0.000
-0.087  -0.000  0.000  0.000  0.000  0.000
-0.084  -0.000  0.000  0.000  0.000  0.000
-0.096  -0.000  0.000  0.000  0.000  0.000
-0.107  -0.000  0.000  0.000  0.000  0.000
-0.109  -0.000  0.000  0.000  0.000  0.000
-0.115  -0.000  0.000  0.000  0.000  0.000
-0.118  -0.000  0.000  0.000  0.000  0.000
-0.119  -0.000  0.000  0.000  0.000  0.000
-0.115  -0.000  0.000  0.000  0.000  0.000
-0.128  -0.000  0.000  0.000  0.000  0.000
-0.149  -0.000  0.000  0.000  0.000  0.000
-0.149  -0.000  0.000  0.000  0.000  0.000
-0.172  -0.000  0.000  0.000  0.000  0.000
-0.188  -0.000  0.000  0.000  0.000  0.000
-0.193  -0.000  0.000  0.000  0.000  0.000
-0.201  -0.000  0.000  0.000  0.000  0.000
-0.196  -0.000  0.000  0.000  0.000  0.000
-0.187  -0.000  0.000  0.000  0.000  0.000
-0.169  -0.000  0.000  0.000  0.000  0.000
-0.136  -0.000  0.000  0.000  0.000  0.000
-0.121  -0.000  0.000  0.000  0.000  0.000
-0.102  -0.000  0.000  0.000  0.000  0.000
-0.087  -0.000  0.000  0.000  0.000  0.000
-0.077  -0.000  0.000  0.000  0.000  0.000
-0.066  -0.000  0.000  0.000  0.000  0.000
-0.057  -0.000  0.000  0.000  0.000  0.000
-0.056  -0.000  0.000  0.000  0.000  0.000
-0.058  -0.000  0.000  0.000  0.000  0.000
-0.065  -0.000  0.000  0.000  0.000  0.000
-0.084  -0.000  0.000  0.000  0.000  0.000
-0.121  -0.000  0.000  0.000  0.000  0.000
-0.175  -0.000  0.000  0.000  0.000  0.000
-0.229  -0.000  0.000  0.000  0.000  0.000
-0.288  -0.000  0.000  0.000  0.000  0.000
-0.348  -0.000  0.000  0.000  0.000  0.000
-0.413  -0.000  0.000  0.000  0.000  0.000
-0.474  -0.000  0.000  0.000  0.000  0.000
-0.533  -0.000  0.000  0.000  0.000  0.000
-0.581  -0.000  0.000  0.000  0.000  0.000
-0.588  -0.000  0.000  0.000  0.000  0.000
-0.577  -0.000  0.000  0.000  0.000  0.000
-0.565  -0.000  0.000  0.000  0.000  0.000
-0.530  -0.000  0.000  0.000  0.000  0.000
-0.505  -0.000  0.000  0.000  0.000  0.000
-0.451  -0.000  0.000  0.000  0.000  0.000
-0.396  -0.000  0.000  0.000  0.000  0.000
-0.359  -0.000  0.000  0.000  0.000  0.000
-0.300  -0.000  0.000  0.000  0.000  0.000
-0.212  -0.000  0.000  0.000  0.000  0.000
-0.102  -0.000  0.000  0.000  0.000  0.000
0.055  -0.000  0.000  0.000  0.000  0.000
0.249  -0.000  0.000  0.000  0.000  0.000
0.429  -0.000  0.000  0.000  0.000  0.000
0.599  -0.000  0.000  0.000  0.000  0.000
0.732  -0.000  0.000  0.000  0.000  0.000
0.814  -0.000  0.000  0.000  0.000  0.000
0.868  -0.000  0.000  0.000  0.000  0.000
0.893  -0.000  0.000  0.000  0.000  0.000
