SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-11.340     29   0.000  0.000  0.000  0.111  -0.008  -0.024  -0.011  -0.018
-10.433     29   0.000  0.000  0.000  0.465  0.079  -0.009  -0.011  -0.018
-12.415     29   0.000  0.000  0.000  -0.857  -0.054  0.139  -0.011  -0.017
-9.212     29   0.000  0.000  0.000  1.495  0.104  -0.209  -0.011  -0.018
-12.309     29   0.000  0.000  0.000  -1.218  -0.139  0.129  -0.011  -0.018
-11.667     30   0.000  0.000  0.000  0.229  0.048  0.009  -0.011  -0.018
-11.922     30   0.000  0.000  0.000  -0.131  -0.020  0.015  -0.011  -0.017
-11.917     30   0.000  0.000  0.000  -0.052  0.005  0.025  -0.011  -0.017
-10.979     30   0.000  0.000  0.000  0.363  0.084  0.017  -0.011  -0.017
-11.669     30   0.000  0.000  0.000  -0.232  -0.120  -0.068  -0.011  -0.017
-9.503     30   0.000  0.000  0.000  1.102  0.050  -0.179  -0.011  -0.018
-10.438     29   0.000  0.000  0.000  -0.379  0.210  0.314  -0.010  -0.017
-10.793     29   0.000  0.000  0.000  0.025  -0.161  -0.166  -0.010  -0.018
-12.353     30   0.000  0.000  0.000  -0.627  -0.125  0.014  -0.011  -0.018
-10.352     31   0.000  0.000  0.000  0.854  0.157  -0.012  -0.011  -0.018
-10.467     31   0.000  0.000  0.000  0.098  -0.012  -0.024  -0.011  -0.018
-11.451     31   0.000  0.000  0.000  -0.348  -0.033  0.051  -0.011  -0.018
-11.910     31   0.000  0.000  0.000  -0.315  0.096  0.179  -0.010  -0.017
-10.413     31   0.000  0.000  0.000  0.739  -0.066  -0.223  -0.010  -0.017
-10.192     31   0.000  0.000  0.000  0.051  0.222  0.233  -0.009  -0.017
-11.508     32   0.000  0.000  0.000  -0.397  -0.273  -0.193  -0.010  -0.017
-10.347     31   0.000  0.000  0.000  0.414  0.227  0.158  -0.010  -0.017
-11.335     32   0.000  0.000  0.000  -0.341  -0.144  -0.069  -0.010  -0.017
-9.446     32   0.000  0.000  0.000  0.928  0.065  -0.125  -0.010  -0.017
-11.732     31   0.000  0.000  0.000  -0.839  -0.153  0.031  -0.010  -0.018
-12.346     31   0.000  0.000  0.000  -0.243  -0.101  -0.045  -0.011  -0.018
-12.076     30   0.000  0.000  0.000  0.095  -0.001  -0.014  -0.012  -0.018
-11.271     30   0.000  0.000  0.000  0.459  -0.043  -0.138  -0.012  -0.019
-11.447     30   0.000  0.000  0.000  -0.076  0.137  0.171  -0.011  -0.018
-14.326     30   0.000  0.000  0.000  -1.260  -0.255  0.014  -0.012  -0.018
-11.668     30   0.000  0.000  0.000  1.060  0.094  -0.126  -0.012  -0.018
-13.589     30   0.000  0.000  0.000  -0.842  -0.131  0.053  -0.013  -0.018
-14.213     31   0.000  0.000  0.000  -0.455  -0.039  0.065  -0.013  -0.018
-12.511     31   0.000  0.000  0.000  0.603  0.056  -0.067  -0.013  -0.018
-12.339     31   0.000  0.000  0.000  -0.027  0.080  0.096  -0.013  -0.018
-12.184     31   0.000  0.000  0.000  -0.037  0.051  0.068  -0.012  -0.017
-9.499     29   0.000  0.000  0.000  1.246  0.104  -0.155  -0.012  -0.018
-12.834     29   0.000  0.000  0.000  -1.410  -0.123  0.187  -0.012  -0.017
-11.036     29   0.000  0.000  0.000  0.716  0.075  -0.070  -0.012  -0.017
-10.673     30   0.000  0.000  0.000  0.179  0.061  0.033  -0.011  -0.017
-8.889     29   0.000  0.000  0.000  0.909  0.122  -0.062  -0.011  -0.017
-8.360     29   0.000  0.000  0.000  0.495  0.082  -0.012  -0.010  -0.018
-8.624     29   0.000  0.000  0.000  0.141  0.076  0.060  -0.009  -0.017
-10.922     28   0.000  0.000  0.000  -0.820  -0.126  0.056  -0.009  -0.017
-10.138     28   0.000  0.000  0.000  0.318  0.129  0.076  -0.009  -0.016
-8.542     29   0.000  0.000  0.000  0.910  0.002  -0.187  -0.009  -0.017
-8.454     30   0.000  0.000  0.000  0.242  0.134  0.100  -0.008  -0.017
-8.767     29   0.000  0.000  0.000  0.136  -0.016  -0.035  -0.008  -0.017
-9.636     29   0.000  0.000  0.000  -0.162  -0.038  0.006  -0.008  -0.017
-10.444     30   0.000  0.000  0.000  -0.236  -0.026  0.035  -0.008  -0.017
-13.231     31   0.000  0.000  0.000  -1.316  -0.118  0.173  -0.009  -0.016
-10.454     30   0.000  0.000  0.000  1.133  0.039  -0.198  -0.009  -0.016
-11.503     31   0.000  0.000  0.000  -0.360  -0.147  -0.067  -0.010  -0.017
-12.202     30   0.000  0.000  0.000  -0.414  0.043  0.145  -0.010  -0.017
-12.037     29   0.000  0.000  0.000  0.116  -0.183  -0.210  -0.011  -0.017
-12.197     29   0.000  0.000  0.000  -0.189  0.085  0.139  -0.011  -0.017
-13.117     30   0.000  0.000  0.000  -0.496  -0.106  0.004  -0.011  -0.017
-13.699     30   0.000  0.000  0.000  -0.507  -0.014  0.103  -0.012  -0.016
-10.825     30   0.000  0.000  0.000  1.181  0.038  -0.211  -0.011  -0.017
-13.038     29   0.000  0.000  0.000  -1.111  0.010  0.260  -0.011  -0.016
-8.285     30   0.000  0.000  0.000  2.063  0.231  -0.200  -0.010  -0.017
-12.038     30   0.000  0.000  0.000  -1.409  -0.303  -0.004  -0.011  -0.017
-10.750     30   0.000  0.000  0.000  0.511  0.124  0.027  -0.011  -0.017
-10.699     30   0.000  0.000  0.000  0.129  -0.043  -0.066  -0.011  -0.017
-11.587     30   0.000  0.000  0.000  -0.299  -0.085  -0.017  -0.012  -0.018
-11.153     31   0.000  0.000  0.000  0.177  0.077  0.050  -0.011  -0.018
-8.993     31   0.000  0.000  0.000  1.125  0.076  -0.157  -0.011  -0.018
-12.630     30   0.000  0.000  0.000  -1.504  -0.109  0.223  -0.011  -0.018
-10.205     31   0.000  0.000  0.000  1.101  0.055  -0.175  -0.011  -0.018
-12.685     31   0.000  0.000  0.000  -1.044  -0.107  0.124  -0.012  -0.018
-10.995     30   0.000  0.000  0.000  0.714  0.064  -0.081  -0.012  -0.018
-11.655     31   0.000  0.000  0.000  -0.262  -0.009  0.056  -0.012  -0.018
-11.426     29   0.000  0.000  0.000  0.092  0.021  0.010  -0.011  -0.017
-10.341     29   0.000  0.000  0.000  0.429  0.172  0.096  -0.011  -0.017
-11.526     31   0.000  0.000  0.000  -0.330  -0.254  -0.188  -0.011  -0.018
-12.770     31   0.000  0.000  0.000  -0.733  0.108  0.282  -0.011  -0.017
-9.998     31   0.000  0.000  0.000  1.278  -0.024  -0.298  -0.011  -0.017
-10.196     30   0.000  0.000  0.000  0.023  0.078  0.086  -0.011  -0.018
-10.317     30   0.000  0.000  0.000  0.117  -0.031  -0.049  -0.011  -0.018
-10.953     30   0.000  0.000  0.000  -0.194  0.018  0.071  -0.011  -0.018
-10.561     30   0.000  0.000  0.000  0.275  -0.004  -0.056  -0.011  -0.018
-11.534     30   0.000  0.000  0.000  -0.385  -0.011  0.081  -0.011  -0.017
-11.072     31   0.000  0.000  0.000  0.253  -0.023  -0.072  -0.011  -0.018
-11.996     31   0.000  0.000  0.000  -0.520  0.097  0.225  -0.011  -0.017
-10.294     30   0.000  0.000  0.000  0.674  0.102  -0.032  -0.010  -0.016
-10.548     30   0.000  0.000  0.000  -0.003  -0.101  -0.097  -0.010  -0.017
-10.139     30   0.000  0.000  0.000  0.208  0.080  0.048  -0.010  -0.017
-10.355     30   0.000  0.000  0.000  0.059  -0.091  -0.100  -0.010  -0.017
-10.427     31   0.000  0.000  0.000  0.087  -0.010  -0.021  -0.010  -0.017
-10.572     32   0.000  0.000  0.000  0.003  0.049  0.060  -0.010  -0.017
-11.599     32   0.000  0.000  0.000  -0.356  -0.123  -0.043  -0.011  -0.017
-10.672     30   0.000  0.000  0.000  0.362  0.133  0.070  -0.010  -0.017
-13.111     29   0.000  0.000  0.000  -0.970  -0.306  -0.104  -0.011  -0.017
-11.981     31   0.000  0.000  0.000  0.373  0.081  0.011  -0.012  -0.018
-12.953     31   0.000  0.000  0.000  -0.433  -0.135  -0.041  -0.012  -0.018
