SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
-13.199     33   0.000  0.000  0.000  -1.506  1.000  4.560  5.790  1.531  0.020  100000
-11.799     33   0.000  0.000  0.000  0.364  1.000  4.560  5.790  1.531  0.020  100000
-11.322     33   0.000  0.000  0.000  0.176  1.000  4.560  5.790  1.531  0.020  100000
-11.414     31   0.000  0.000  0.000  -0.054  1.000  4.560  5.790  1.531  0.020  100000
-10.744     31   0.000  0.000  0.000  0.286  1.000  4.560  5.790  1.531  0.020  100000
-10.807     31   0.000  0.000  0.000  0.023  1.000  4.560  5.790  1.531  0.020  100000
-11.681     32   0.000  0.000  0.000  -0.403  1.000  4.560  5.790  1.531  0.020  100000
-10.533     32   0.000  0.000  0.000  0.554  1.000  4.560  5.790  1.531  0.020  100000
-11.918     32   0.000  0.000  0.000  -0.710  1.000  4.560  5.790  1.531  0.020  100000
-8.648     32   0.000  0.000  0.000  1.496  1.000  4.560  5.790  1.531  0.020  100000
-11.110     32   0.000  0.000  0.000  -0.871  1.000  4.560  5.790  1.531  0.020  100000
-10.345     32   0.000  0.000  0.000  0.323  1.000  4.560  5.790  1.531  0.020  100000
-12.056     32   0.000  0.000  0.000  -0.776  1.000  4.560  5.790  1.531  0.020  100000
-10.037     32   0.000  0.000  0.000  0.862  1.000  4.560  5.790  1.531  0.020  100000
-9.619     33   0.000  0.000  0.000  0.302  1.000  4.560  5.790  1.531  0.020  100000
-11.435     31   0.000  0.000  0.000  -0.695  1.000  4.560  5.790  1.531  0.020  100000
-8.256     32   0.000  0.000  0.000  1.434  1.000  4.560  5.790  1.531  0.020  100000
-11.069     32   0.000  0.000  0.000  -0.961  1.000  4.560  5.790  1.531  0.020  100000
-8.548     33   0.000  0.000  0.000  1.227  1.000  4.560  5.790  1.531  0.020  100000
-11.656     33   0.000  0.000  0.000  -1.222  1.000  4.560  5.790  1.531  0.020  100000
-10.740     33   0.000  0.000  0.000  0.454  1.000  4.560  5.790  1.531  0.020  100000
-10.809     32   0.000  0.000  0.000  0.065  1.000  4.560  5.790  1.531  0.020  100000
-10.897     32   0.000  0.000  0.000  0.065  1.000  4.560  5.790  1.531  0.020  100000
-10.764     32   0.000  0.000  0.000  0.101  1.000  4.560  5.790  1.531  0.020  100000
-11.054     30   0.000  0.000  0.000  -0.031  1.000  4.560  5.790  1.531  0.020  100000
-11.478     32   0.000  0.000  0.000  -0.056  1.000  4.560  5.790  1.531  0.020  100000
-11.098     32   0.000  0.000  0.000  0.154  1.000  4.560  5.790  1.531  0.020  100000
-12.241     31   0.000  0.000  0.000  -0.405  1.000  4.560  5.790  1.531  0.020  100000
-12.109     32   0.000  0.000  0.000  -0.024  1.000  4.560  5.790  1.531  0.020  100000
-11.697     31   0.000  0.000  0.000  0.174  1.000  4.560  5.790  1.531  0.020  100000
-11.457     31   0.000  0.000  0.000  0.129  1.000  4.560  5.790  1.531  0.020  100000
-12.319     31   0.000  0.000  0.000  -0.349  1.000  4.560  5.790  1.531  0.020  100000
-13.130     32   0.000  0.000  0.000  -0.459  1.000  4.560  5.790  1.531  0.020  100000
-10.240     32   0.000  0.000  0.000  1.250  1.000  4.560  5.790  1.531  0.020  100000
-12.610     32   0.000  0.000  0.000  -0.978  1.000  4.560  5.790  1.531  0.020  100000
-9.798     33   0.000  0.000  0.000  1.280  1.000  4.560  5.790  1.531  0.020  100000
-10.975     32   0.000  0.000  0.000  -0.346  1.000  4.560  5.790  1.531  0.020  100000
-10.297     32   0.000  0.000  0.000  0.412  1.000  4.560  5.790  1.531  0.020  100000
-10.462     32   0.000  0.000  0.000  0.079  1.000  4.560  5.790  1.531  0.020  100000
-14.010     33   0.000  0.000  0.000  -1.625  1.000  4.560  5.790  1.531  0.020  100000
-9.677     33   0.000  0.000  0.000  1.736  1.000  4.560  5.790  1.531  0.020  100000
-13.370     33   0.000  0.000  0.000  -1.537  1.000  4.560  5.790  1.531  0.020  100000
-9.563     32   0.000  0.000  0.000  1.635  1.000  4.560  5.790  1.531  0.020  100000
-9.522     32   0.000  0.000  0.000  0.081  1.000  4.560  5.790  1.531  0.020  100000
-9.628     33   0.000  0.000  0.000  0.106  1.000  4.560  5.790  1.531  0.020  100000
-9.899     33   0.000  0.000  0.000  0.048  1.000  4.560  5.790  1.531  0.020  100000
-11.657     32   0.000  0.000  0.000  -0.701  1.000  4.560  5.790  1.531  0.020  100000
-10.029     32   0.000  0.000  0.000  0.696  1.000  4.560  5.790  1.531  0.020  100000
-10.875     32   0.000  0.000  0.000  -0.167  1.000  4.560  5.790  1.531  0.020  100000
-10.156     31   0.000  0.000  0.000  0.445  1.000  4.560  5.790  1.531  0.020  100000
-12.652     32   0.000  0.000  0.000  -0.919  1.000  4.560  5.790  1.531  0.020  100000
-13.534     32   0.000  0.000  0.000  -0.534  1.000  4.560  5.790  1.531  0.020  100000
-13.874     33   0.000  0.000  0.000  -0.262  1.000  4.560  5.790  1.531  0.020  100000
-13.788     31   0.000  0.000  0.000  -0.132  1.000  4.560  5.790  1.531  0.020  100000
-12.736     30   0.000  0.000  0.000  0.393  1.000  4.560  5.790  1.531  0.020  100000
-13.373     30   0.000  0.000  0.000  -0.349  1.000  4.560  5.790  1.531  0.020  100000
-13.337     31   0.000  0.000  0.000  -0.144  1.000  4.560  5.790  1.531  0.020  100000
-10.655     32   0.000  0.000  0.000  1.211  1.000  4.560  5.790  1.531  0.020  100000
-12.360     33   0.000  0.000  0.000  -0.657  1.000  4.560  5.790  1.531  0.020  100000
-11.156     33   0.000  0.000  0.000  0.566  1.000  4.560  5.790  1.531  0.020  100000
-10.375     33   0.000  0.000  0.000  0.461  1.000  4.560  5.790  1.531  0.020  100000
-10.735     31   0.000  0.000  0.000  -0.042  1.000  4.560  5.790  1.531  0.020  100000
-10.055     31   0.000  0.000  0.000  0.455  1.000  4.560  5.790  1.531  0.020  100000
-10.694     32   0.000  0.000  0.000  -0.162  1.000  4.560  5.790  1.531  0.020  100000
-10.427     33   0.000  0.000  0.000  0.146  1.000  4.560  5.790  1.531  0.020  100000
-9.922     31   0.000  0.000  0.000  0.381  1.000  4.560  5.790  1.531  0.020  100000
-10.083     31   0.000  0.000  0.000  0.076  1.000  4.560  5.790  1.531  0.020  100000
-8.772     32   0.000  0.000  0.000  0.702  1.000  4.560  5.790  1.531  0.020  100000
-10.507     30   0.000  0.000  0.000  -0.566  1.000  4.560  5.790  1.531  0.020  100000
-9.930     30   0.000  0.000  0.000  0.313  1.000  4.560  5.790  1.531  0.020  100000
-10.261     30   0.000  0.000  0.000  0.005  1.000  4.560  5.790  1.531  0.020  100000
-11.016     31   0.000  0.000  0.000  -0.215  1.000  4.560  5.790  1.531  0.020  100000
-11.016     32   0.000  0.000  0.000  0.007  1.000  4.560  5.790  1.531  0.020  100000
-13.516     31   0.000  0.000  0.000  -1.179  1.000  4.560  5.790  1.531  0.020  100000
