SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
2.339     -2   0.000  0.000  0.000  2.533  0.722  0.221  0.009  -0.001
-1.692     -3   0.000  0.000  0.000  -1.274  -0.614  -0.357  0.007  -0.003
4.435     -4   0.000  0.000  0.000  3.240  0.116  -0.572  0.007  -0.006
1.131     -4   0.000  0.000  0.000  -0.605  -0.146  -0.004  0.006  -0.008
1.497     -3   0.000  0.000  0.000  0.849  0.075  -0.088  0.006  -0.009
-2.685     -2   0.000  0.000  0.000  -1.475  0.045  0.388  0.006  -0.008
-6.944     -1   0.000  0.000  0.000  -1.378  -0.806  -0.535  0.003  -0.009
-8.364     -1   0.000  0.000  0.000  -0.896  0.091  0.305  0.001  -0.009
1.415      0   0.000  0.000  0.000  4.015  0.976  0.167  0.005  -0.007
-9.771      0   0.000  0.000  0.000  -4.508  -0.940  0.008  0.003  -0.007
-5.648     -2   0.000  0.000  0.000  0.964  0.704  0.544  0.005  -0.004
-10.039     -1   0.000  0.000  0.000  -2.261  -0.570  -0.098  0.004  -0.003
-6.097     -2   0.000  0.000  0.000  0.641  0.634  0.537  0.005  -0.000
-0.537     -1   0.000  0.000  0.000  2.377  -0.143  -0.663  0.006  -0.002
0.531     -1   0.000  0.000  0.000  0.740  -0.001  -0.150  0.006  -0.004
3.241     -1   0.000  0.000  0.000  1.524  0.357  0.059  0.008  -0.005
-5.830     -3   0.000  0.000  0.000  -3.579  -0.654  0.106  0.006  -0.004
-12.021     -3   0.000  0.000  0.000  -3.227  -0.477  0.210  0.002  -0.003
-1.069     -3   0.000  0.000  0.000  3.846  0.972  0.192  0.004  -0.002
-0.142     -2   0.000  0.000  0.000  0.495  -0.074  -0.178  0.006  -0.002
5.415     -4   0.000  0.000  0.000  2.957  0.135  -0.491  0.008  -0.004
-2.274     -4   0.000  0.000  0.000  -2.677  -0.525  0.046  0.006  -0.005
-3.222     -2   0.000  0.000  0.000  -0.261  -0.104  -0.040  0.004  -0.006
-1.315     -2   0.000  0.000  0.000  0.284  0.881  0.881  0.007  -0.002
2.025     -1   0.000  0.000  0.000  1.571  0.050  -0.279  0.009  -0.001
8.371     -1   0.000  0.000  0.000  3.127  0.581  -0.053  0.013  -0.001
0.320     -3   0.000  0.000  0.000  -2.688  -0.705  -0.139  0.012  -0.002
5.850     -3   0.000  0.000  0.000  3.315  -0.167  -0.883  0.010  -0.006
-7.852     -3   0.000  0.000  0.000  -5.792  -0.325  0.942  0.007  -0.005
-8.507     -3   0.000  0.000  0.000  -0.600  -0.415  -0.297  0.004  -0.004
-6.284     -1   0.000  0.000  0.000  -0.323  0.984  1.120  0.007  0.000
-17.205     -2   0.000  0.000  0.000  -5.643  -1.240  -0.073  0.004  0.003
-7.024     -2   0.000  0.000  0.000  2.725  0.646  0.085  0.004  0.004
-5.658     -2   0.000  0.000  0.000  -0.219  -0.151  -0.112  0.004  0.004
-2.701     -1   0.000  0.000  0.000  0.641  0.066  -0.069  0.004  0.004
7.655     -1   0.000  0.000  0.000  4.725  0.334  -0.676  0.006  0.000
1.182     -2   0.000  0.000  0.000  -2.253  -0.296  0.190  0.006  -0.001
3.936      0   0.000  0.000  0.000  1.681  -0.006  -0.365  0.005  -0.003
5.137     -3   0.000  0.000  0.000  0.686  0.683  0.583  0.008  -0.001
1.887     -3   0.000  0.000  0.000  -0.384  -0.910  -0.867  0.006  -0.003
