accBasedController [2021-03-27-21-59-14]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.858049  0.004  -0.006  0.108  0.077  0.000  0.000
0.861049  0.007  -0.007  0.321  -0.131  0.000  0.000
0.864049  0.007  -0.007  0.321  -0.131  0.000  0.000
0.867049  0.007  -0.008  -0.025  -0.158  0.000  0.000
0.870049  0.007  -0.008  -0.025  -0.158  0.000  0.000
0.873050  0.007  -0.008  0.093  -0.016  0.000  0.000
0.876050  0.007  -0.008  0.093  -0.016  0.000  0.000
0.879050  0.007  -0.008  0.093  -0.016  0.000  0.000
0.882050  0.006  -0.006  -0.196  0.240  0.000  0.000
0.885050  0.006  -0.006  -0.196  0.240  0.000  0.000
0.888050  0.005  -0.005  -0.138  0.216  0.000  0.000
0.891051  0.005  -0.005  -0.138  0.216  0.000  0.000
0.894051  0.003  -0.005  -0.213  -0.037  0.000  0.000
0.897051  0.003  -0.005  -0.213  -0.037  0.000  0.000
0.900051  0.003  -0.005  -0.213  -0.037  0.000  0.000
0.903051  0.002  -0.006  -0.189  -0.096  0.000  0.000
0.906051  0.002  -0.006  -0.189  -0.096  0.000  0.000
0.909052  0.003  -0.005  0.244  0.052  0.000  0.000
0.912052  0.003  -0.005  0.244  0.052  0.000  0.000
0.915052  0.006  -0.006  0.274  -0.096  0.000  0.000
0.918052  0.006  -0.006  0.274  -0.096  0.000  0.000
0.921052  0.006  -0.006  0.274  -0.096  0.000  0.000
0.924052  0.005  -0.005  -0.031  0.162  0.000  0.000
0.927053  0.005  -0.005  -0.031  0.162  0.000  0.000
0.930053  0.006  -0.004  0.129  0.088  0.000  0.000
0.933053  0.006  -0.004  0.129  0.088  0.000  0.000
0.936053  0.007  -0.005  0.023  -0.143  0.000  0.000
0.939053  0.007  -0.005  0.023  -0.143  0.000  0.000
0.942053  0.007  -0.005  0.023  -0.143  0.000  0.000
0.945054  0.006  -0.006  -0.051  -0.139  0.000  0.000
0.948054  0.006  -0.006  -0.051  -0.139  0.000  0.000
0.951054  0.005  -0.006  -0.141  -0.014  0.000  0.000
0.954054  0.005  -0.006  -0.141  -0.014  0.000  0.000
0.957054  0.007  -0.006  0.231  0.049  0.000  0.000
0.960054  0.007  -0.006  0.231  0.049  0.000  0.000
0.963055  0.007  -0.006  0.231  0.049  0.000  0.000
0.966055  0.007  -0.006  0.051  0.011  0.000  0.000
0.969055  0.007  -0.006  0.051  0.011  0.000  0.000
0.974055  0.007  -0.006  0.011  0.002  0.000  0.000
0.979056  0.007  -0.006  0.011  0.002  0.000  0.000
0.982056  0.007  -0.006  0.003  0.001  0.000  0.000
0.985056  0.007  -0.006  0.003  0.001  0.000  0.000
0.988056  0.007  -0.006  0.003  0.001  0.000  0.000
0.991056  0.007  -0.006  0.001  0.000  0.000  0.000
0.994056  0.007  -0.006  0.001  0.000  0.000  0.000
0.997057  0.007  -0.006  0.000  0.000  0.000  0.000
1.000057  0.007  -0.006  0.000  0.000  0.000  0.000
1.003057  0.012  -0.005  0.507  0.079  0.000  0.000
1.006057  0.012  -0.005  0.507  0.079  0.000  0.000
1.009057  0.012  -0.005  0.507  0.079  0.000  0.000
1.012057  0.011  -0.007  -0.016  -0.182  0.000  0.000
